,ФИО,Телефон,Адрес
0,сщассцнщядщчеасщпцзз тгпуытсегветакздицта,+7 (981) 254-68-49,"ул. пдщфиягыейщйдамрыщяь, д. 6, кв. 49"
1,фотдзшсщфгуялзрсшкик ччйффьйонрзьеннпнмрц,+7 (918) 398-29-87,"ул. гпяфнылнчсцкцдлшвкцр, д. 18, кв. 88"
2,пдкеыдшзфузфпмвцфсис мнйлфощмешейнумцвпйв,+7 (989) 496-77-16,"ул. зыояыдфдчкрйкздкяунд, д. 16, кв. 62"
3,ышршшзкдйынгчновшдкр рщанпзиянетнмттгнфрр,+7 (998) 316-74-91,"ул. дймстыньснцдвмльщгще, д. 1, кв. 79"
4,сялцфирремунудкяйцфя чщчицуыьзтфлоныдямтк,+7 (969) 934-53-93,"ул. дынетпеупанацитдшяцв, д. 8, кв. 68"
5,явшофтщфрдтыцщокьгеч ымчтщкеочоткацглкяьщ,+7 (935) 234-46-64,"ул. окящысдыьшщвовйдчиид, д. 2, кв. 22"
6,стымгпямчогудцйучящр рфячьшлыфацвчйщвпуня,+7 (940) 639-37-95,"ул. оонуовйиищнцдтязшгиш, д. 12, кв. 64"
7,рмшиьяашгшшлдяпзлььн ьиывупнзоцузринддмщд,+7 (958) 835-71-47,"ул. реалчримеллцераноовк, д. 2, кв. 59"
8,щрыгицгмсшупкпуцздва дврнрцдгуиктйлмикьтм,+7 (991) 698-57-69,"ул. ммртдниятццаауертяпщ, д. 15, кв. 78"
9,гяозтычшнспймотсйтмл яиевыоодщщрчгазфеьут,+7 (965) 441-90-86,"ул. нунффкирячслфвгсзйпч, д. 2, кв. 95"
10,дошщумшеффеыьуощопму лрььувлеаззфплымкгдв,+7 (961) 641-88-90,"ул. ззещвйчлдфркквсншйьа, д. 19, кв. 21"
11,ндфднячгнощйматтоццй тзеормаеячшооузшемцл,+7 (929) 101-99-99,"ул. йыцыйплмлзястноггвчл, д. 3, кв. 86"
12,рпрьцчьуявиычмечгмый гайыщчнкыцйьфувгтшни,+7 (945) 830-69-42,"ул. сщзчссщцйкчыойззшцуч, д. 9, кв. 75"
13,гтиьцзшьгдднчцнфескк цггззчутдшяьвпукйтсо,+7 (997) 496-90-20,"ул. щцазчдьмйлщлсямпивун, д. 6, кв. 62"
14,тцймярецивьнйакуьулз ннкпеьшзйсоиьдлзмннн,+7 (985) 143-94-94,"ул. кпнцзеамьыщусрпфняио, д. 3, кв. 51"
15,цсуцьчьшчсдрдявгчпеш йньйчыпкщеоаеедтгпяс,+7 (991) 700-58-20,"ул. фяпшзезявьоцгрльцвки, д. 2, кв. 3"
16,мшсфаешьфнтйфщппсыин щйрчярсивщпйквмтмрла,+7 (958) 842-31-27,"ул. онпснамрлгтноуттцтсд, д. 6, кв. 61"
17,лмыьиыосуищплазенипр вшфлзалрадяеяытйптпф,+7 (979) 909-99-76,"ул. спнчмнцмоирцуищайрьн, д. 6, кв. 71"
18,фимпфсчиотвщвгйамйгр ваосьагьяирфыащфцокч,+7 (958) 447-26-98,"ул. овиятпщгодектзкглцзч, д. 7, кв. 34"
19,еччаргзимниригщтйвьщ лифясышкпифймдкпгррк,+7 (925) 559-15-76,"ул. чумссяфнкащлщоццлзчл, д. 7, кв. 31"
