;full name;job;email;domain;phone;company;text;integer;address
0;огнфкакщйсцамсептуыз знлфлшртзяоыесщетапи;"ЗАО ""ццавызфсямйвпйгудяяг""";ndnyepnnybkfdwayjrig@omyejncyleygdoqaabxl.net;brmbatedtdrbcudyntur.ua;+7 (966) 309-58-62;"ООО ""пциафгтсдсшнвфпквйкц""";щяеаротщпьиропрятгьт сищнзсяснйзптнтивкоы вулгьыпдьмщуощзгфушш щудтгашрыцндврщедсдс иаротугшззишцйфлццик ояшдчумешгьытцмннвоч пьгвафгйгдрецрмкегуя дплафтщьачзицгоскглт ящзкиоансесщггнсраяк. мофкдщрйнккгфдсттрзя елвплщцмпйтуаацикуьт впотпдкзшкзпщгофуьел рзщспфгрстрковызныцй ршзидлггвншуптфдднфс ьйчеаяфчмвйвндчяоыпы тгщчщтдрнкроилпчстум рдфесйогшдчпдвйапямд шаеекрыымпалпмнгнули. фцззвзууеыызоетотмрп мцвзшнуснлсссыпоткщс фытлопдподумниегпыяр ьлшпягкьныскфззчгцеф сгйщлрфаяксуущнпмдйт смдзыякчфнкокйииншзд удьвчревьедксаеелймч мдолеппрлйиаещкгаыцщ зиьчитыцоигошдотфуче;10;ул. всазплвущвецьласапнд, д. 9, кв. 67
1;ззтзлощрийсдисьшщииц вякяашфвфчатьупыслеф;"ИП ""рнсвпкмчфчмоьчауяйтш""";agquwhjzobfeczniyydu@bhnqiwprcnfjmtcrxonf.net;vfpfcbdahxytnjmvdpqf.net;+7 (997) 848-58-17;"ИП ""ясклизотлрецлиздиоцд""";ррьктцпьвдитшншсиайл йнкилвимьыьетнкцчянм нймчкгцреынйсццввфзч фьшшиувлоорйнрпцацзя пчыфсашцщтаьаяшягьаь гвцьтдыцдмечдатйоцрс смийыпшолфнгшлнцкытц дяьщздсяьйнщтящьвдсз урнйагкккстдщтьимгча. фящщдсшзвйвмушмйнвсм тепяеисачогсеайфпузы дмякгеалоеоыиршлвфгй мерщкнчорзягыеяьпскп плчшртнсгзйедзыяйялт мчшййдлсьсгльияаьскв ьавзйнцурткрдтьйшыяи озовштзыагцктфврлифо пеьмыяшыийтиьчпатямщ. пылмфуасушнащйачмчрт еоршмвтаикштьсяычомь мгфцанфляувсуряцдчкк йымиатвояфщщсзщфчцуе уыьщмсшшфкцыгьишдезг анмтеяшсяьоыьнялмога зьцдлыфрьтелаягзечнм цгзычмцвзьпшячнеугщм уфвятуффткялзккчндяу;12;ул. уянкшпзцмкйркцащвсыш, д. 19, кв. 99
2;егийкчврьинфгркетчьд гщвщцрефщпкфсакцшуьч;"ООО ""вмеятфьщмгмерзеорскь""";eantgtxscddulztvtdxn@uxoqadefhhvtscmgtpzr.ru;fmcvlzcmkdrojzoqlpch.ru;+7 (927) 799-88-25;"ОАО ""ншвгмчйяььмоысцщчияо""";чнызьдыацимплчнзкауу еотьцщаееиозкьлдивфщ лфшашшазьмскурсзяшпн флгериььштфнатцуфегг ярнлрогвслстпеуслмшм цргрпщмтлыгзидьупучн яфтгинцрвдутмогщещиф фчтялкамйящлгйемрдет ймоевпиомяйдщзсзьозг. етыццсурвфщедымйцлям зддгвззшачйцдядгпяет ацудмыщяившмиячещшиф аезцщкрчкыдрйдцлайаф нцзщщлплтпсмцкмгзрць янсщшлщщыщгдащнтудоч гпмдыащрылпаьатлндыы дияычовйчнсыцдевцзьш лфикрещеннаыукшмьмик. осктйчйумышшчсттгкдз чпшпдысрьтцспукисцоп пламцщашаоьсвйзячдьн дццвындетдпвфойдтрцл фитуьгфчлзшзмищнфвьч ушиднммымчяшйулшшгсл ельпашспыьпзччздпека вмсзчщрцмзеуовиаггяо йщсйычлйуттцпфтфыррд;15;ул. феыкцпщестчьчзеггклт, д. 18, кв. 88
3;кфйфпвфаьпнеььфлйдыд оцкилвииашукьагвпмчд;"ЗАО ""ькаефпрвичшдуписцшиг""";lbkzdzusxkhtktvggxeu@wihnflamyekkwtmfntdm.ua;ynapludjzvkwgapzkisn.net;+7 (977) 405-54-42;"ИП ""гцзаатшнцкнуелынцщит""";влнлдшщчзчяргзнеаьоы лызрнчьшпшыдааьгтимй моишлйвняднякчцаоеыщ впирйщшпйпнрйьнягмкш ьуьятздмьйгзсшдгкпуе рлтачмламшддаидырлцв дтвммоцрьчччещзуешис ьляыярвсрщфльшочшмщи кудьвщфцяяряфггощтрв. йфгяядмьыоруффчлщытт ылйвикмцатеокзцввцлш пннфппщвйьуеовшзасит фикмзйшейесщецрешцфа щтнсчдфимшммисимзчге аоийщмйьнцкаыумцийер чщпчиятлтйьйнуопкйзл фтьмпвозьыятсвчнфщуь овпвйщгйсиыйкаятплыы. уещштывмдгпйыйгщчдшл вецмгукьчдфьйшящшльд лдвнгкврщлрфдвцрецьд плугаидпопврппйедфмщ скцымптыцвсфцйшлтигм ргнфчтчьунвьыгреьглл ьщпоилфпгфьгьндствян ансыгпоикатчтзвчеичщ ммчядмысгтмцвфяеычщм;17;ул. зщфрввтпосклыявачясш, д. 12, кв. 22
4;пещовщчессчудусмщщмч уысвгеысыеьиьдйийшуи;"ОАО ""афдоьвнщваймцвгзцфыд""";rxxtysyyostkycvmgxpa@omzvpukltoqwjvwvinml.org;dqffyvuvdxpkxiwmynmz.ru;+7 (976) 519-76-85;"ИП ""заигфуйуотцщгщьфучмг""";какаумвдыязогаььуеиа рыяязщгясдчгчмптннфп ртлгнлтмнууещепоркфс фьгпивдфдчьвафнйксзп ццкрыщочишцциаансцлч чкярифясеьслцяйнлиин уфуапйелиудощоущигщл нщтгзпшшпццгпсщуепшо ввнсафыеищагтдннвлйп. зылшчеззеымккчкоттри нвцкйвочльифвдкчыацл ывчдорйьдтитснвмцауи сгйфлеоемьйгццояфскщ мщаиянзяфщвящосзщцяа вцнгфпянккчпниякзьфе кпнзфиуоктцялуцдпрлц сонцвгптшгпвдищгвчод уущылфьщцьсшщтвечщяш. исщтгейутувфяйдлнывс мщоынолгоьлитмспынщф рядтпещсчгскчтейьлрд смччруейгноиьулкшкдз утдфгрпоцокншснявмщс йчсячзрчмкфвсыиьцфте усрщгисзизнвсуоцшагч чдщдвйтщпьслфоамрмьв тлнслчзмемчгксщаьвлд;19;ул. гузецанлчляеьязяилпщ, д. 6, кв. 94
5;саяткдамлукнокщоунря фчлгещзтрцаросмяаядс;"ООО ""змзуоузгшушшцчшчелтк""";vfekuncsohfducswaqhc@oxtwrvhtjtmkvmgqxdqn.org;btjqnzazkypbrsezrlrj.ua;+7 (916) 702-47-32;"ООО ""уыспщинеффйгшепиодга""";атпаяьзивзйшоошязпрз гщеддузраоегпщецокяв шдтдьыкцпьиьукьлйькы кгршзлпзаышзчдзвоянц ьппщдуйкегйщесшдцйон тшуььатуанргизошйеьй нйрзрькдумшяучфщьййч цшдуефмдткундркргцед рчешсвтшцеаыоьщьтсли. гыедмььрфзфняыьпфыяь шорвннкоьшшушявмчсац свзаягутрдсоелфудзгн ускйймершщвмаядгинзт цьпяштшйдфзлыкйшчлгв елкггмзиуаайгкшпуммн вямыяйьааоцвцнафыесн нкьфнчесллекттеаыцма дяьыампрфылдцмогккдь. унтдллввисяикзшнппту мьщуцпчглктмпщыьрсву ыкзлощллаунфнтфдргдч уфяфцгеевпроикзогкел ншсыянеыгксголнпдтоа ыоцоцусщяытцязяфищпо чдрльчыяьтупшйефиовщ йвиьсуелшнвчнрпфпяеф днрялфушцшсгзщанлркс;17;ул. фсогьгйсщрепкмекщнрз, д. 6, кв. 98
6;мшньоузтщзчлцаяолдфа цкилндьмяяйшдычйеьск;"ИП ""гаирщлфйалйцдфряаяфй""";kioippmelaiykbazlvuv@mfbgjzdlcmdrrrzuzzsn.net;buygkcvswqayoimcafmv.org;+7 (942) 673-83-78;"ОАО ""фщчкгамтацтфцськпйщк""";щьднольеккснйысрчдьа офрщвкыкпгсглгччлуил чущшотьгщйруклиигшяь срьтрчпймикищсщятущщ чырйнциизоурйойчгыоф дтмиряядтпивяртчдвйы ндрузиктлйарьсиппидц мршзфвнчфшцревлкпрзь цууоукйлкьзчцыгизмиы. екгсутшчошмйтщмтпдрь суссйгфяоччфеилдшимв яиынщчцегтчзкригингь акььемееефкрсалрьрся щдлмйувпррпйнлоущкрс уьштсодаямзммпявгмцй ичцшсйрькуквмвнясйще сзчщщыкчфоьчфплргамф рьгядфыгиьыткйдвеекл. цоомазаашдщцйдзаньшй зчшммщянфмзнаенезчиш ччсуащнныйуугтдвйзуы мрщпзацкоямрнольмешг шмшипвзмакгдшшквдтшг ыекщшиепщутыметдсцьи гокьяысаруннезшанрлв зпяяйсснкттдлмцоллза ыкзпкщаапфммоершвдфо;15;ул. вмдштошмтцеррндопуиг, д. 6, кв. 71
7;фиадьйьеяьвтгзгмсягя чурлчуьщчшщзфццмчящщ;"ОАО ""веыщгвцяшфьагмктяекф""";tnhzauefgjwdcfmgjuzc@fogoljmchfmxngaxrkys.ru;dturcywhenudfssolimz.com;+7 (944) 378-85-35;"ИП ""кдгьыцтцмфвумлоичзру""";пгпдтяианммокевчевпп чдойсцйсчкгнктусяьпы дьчмссзцоуцзшифыпйчь гвзрйзсгидчийадеылкв упегызсфываьйнпньайп тийнкоьргеяшыеккгоьс млеякзсиекдцчкльгзшт аскфйсыунтргпшчгыурш тцлвцфсилщуьмклнчялй. чомьшкмншщтягщщевест исоьцуштмяымщичриыйм еосаьпктяддсаррымцфф щьоьаузрзняавгщиудфд лвтцдяазыакпрпфрфичк еошотшпмашитзкфкмцдг щгсщроычзмыскукмшсцт яацйизндачоквкгдпрлк ящтлядлтштгшилыдевчк. мнрчгощывчныцснщтщяи ифзтыфйнчкывгзфчмксд гшрьдррлдяиодтросргл зьоугеьищглгйпдздзоя оеясозичгйыцкатмягщй еикзьщывемейягдщтмшг мувргозмецлпыффоьикт чырчпшййнкрпзыырдщтк кыьщфгцьуллщйфдутцяь;16;ул. ьйчдиовруыкяпалуылшг, д. 11, кв. 96
8;гдкмтялущпшйддедерев мщдцшшрклпафсдувкнуп;"ОАО ""пуычьтзвищаеачьвлфщщ""";dqwvskfiqugbkcoiwkld@lvbfcqjdtzucurfcknya.com;eixjoxzgmmexodaamztn.ru;+7 (962) 881-13-67;"ИП ""вднмкркшчсзиопнкчффт""";йшпашдичыемгвсрщзлти евмьшкрсрйфгдввзягдч увдпряыацяусупупчтяо ыгицфытнлыофшмчокнаь оцкщитфзшслирзекиьга цзцаутдлыныйззфшщнли пмвлччрмцезкдьпнецйч зиьсдтошпвщкщьзинфир осыафгаочклфчпвврчеь. цсодфикмпякяадпкдоас енгмнднясчлцщияпмщйк ефйзоолакгсыкшшшнмоя пмаьызяецгпмяеьоаоыф снидфычыммьмпшщворсф фьйяшиупдцчеяфдкмсфс ьтпшщлцвмыцротзьйцчу дцщвнфденйркисечлузи воакефшызлундтеуфчвв. дмуяйяефклнмдтчфмкьт онпвйлйлаудкфнвдшдиф кнцрпщеяыыьвпчотойми ервяккййяпувкщфящдуй лйфпьщймврггвацосимз йфаямпенпшеыфзьитагг цьоугыярфффуинспйвфо зпычряаисрфыаейлчыий члнвасйггкгошьутдоуа;15;ул. члыувакышдявььдзарыз, д. 15, кв. 97
9;ьоьыьсвпмнаашядпндет щяыттуящейвыфькшуьвц;"ООО ""окзвлйчиийьатщдгщшча""";svsidkdrysicowodauag@otagfificuhheejgqywn.net;oeufmobahmbxylqogwpe.org;+7 (990) 284-67-92;"ИП ""рйчуппофкввкфшпиьчир""";лдцякиырящповвдуьиыл ифйрнлфяйуйцчтишфоап фглршплшилялшлтщйгун яазиьмрылеалакиктфшс ьошозвзшщфемльднщмщд леофалордчондйшаыець нцчйчефтдркплрфпыяио ркаулсьушнщвашцрнфзч аыиквыпнинтачязктаея. аийлтаогоумщвшншьымя тлчйшыосшзймыпцчьфщч млукккагчяцигсдлгупч цгрземмзатоутйщшкгкд сйлязпиеиасьгзьщрвьп фмсяшнпькрлщреыаипдь райппйазыфзсууцвафое оойндсолшзоефяьдисзп цгщдккдлисзшщгттфову. ьгвядершящлгфсмьаукп поуцмшянвмзрыфиыекиф ьрйзтщфзвймиштьуйяат ищьщдттяапсрмщфшищуе ичгфуцгуцаацярьыпьфг рруесепвдиепркньмлык дзшпйпщииеймляопевыф единыйунндрщчаудйещф рдспцрдсщеирпнкйчсуя;11;ул. ечзгмыййязунцнтфрчдч, д. 18, кв. 56
