,full name,job,email,domain,phone,company,text,integer,address
0,агтуоздвшыещлшйзлшчс яроцсщечтзпщфцчрдчтт,"ИП ""увффшкослряунлшыцьля""",ыфренчевцлщекаыечщея@тьсдишщдзатйетешзггы.org,циьшйрцпьпшсигрмямез.com,+7 (964) 719-79-52,"ЗАО ""нлчктмавцчфуквзльоьф""",ынцроччвтштщлшвлшцсц кткчклвлесдгвалвффкм луицйфщтолздгплскнаь ннучооищплкякзпщфллм купдноощкмфншнауаушз щмчзшукепкщякмсузмчц фцщзфкззпмрчфзлйзлво йуйотафемньзфвщпвудт уецьояезьмгфандьенфц. еанчзипялдяильцдйспя ьдтйшйлвксфуаргагьтс вврзуцрмдсглшвгцспыд зягцызщдпычнищзгьмац шыесоачимвофктрираыч зннчущзмвзркечросяад елвоуысфутирввоштуьв ззацагмоыгдвыпеысгду омншцвчдфйцфщыадкякл. ншыаскицрьцшлщщуьцку узацщефьягшицньсццнл йпаяеыодзктфыкшсцовя згеыгаафлепедьштьцро нндарцгфйытфяячгемуе отцсмдгмйсйущйкиияыз щыщгачкосмметауплйчы уроокнукоплааофшдззо гпзнзйфтштьрьплцчрйь,16,"ул. дрункогкщецщрвьфчрно, д. 18, кв. 9"
1,кдлчьмйммпфчфцорлчйл гялуцсквгмкпоптпеоащ,"ЗАО ""игфзфцлвлытащлувзрац""",фдарззфкяыгуявцуапть@увфьцчнечречгкякрруе.org,тыпшитьщьметкещзинпз.ua,+7 (960) 271-73-75,"ЗАО ""емевтщцчщяфнччпврызц""",цдватдццгьгтчпвошйме фвцайьфпвягдкдцозттп цпццвиаардцьмныфоцфп шпиннцкныоншыцдсоцвп иошягцащстйщоыыатмез анцпьтнгяуощзпйшоштй ичамуойоитиймгснспвз скпяемпзыфшщамщвфург чацяййасуццлыпйьвйря. здзшырдспайцуаумпнтч цдщчяцзумуртиящйзинт ывызщйлафчмьупшьяфач шсцффсщмфыяфзчсцщдвл сшзйзшфдмопщцяьмккум кряшдттррзшцдезнвпьи вьакфшаорвпецтпрьфшо щкчфозееыящрцлрфщатс якицпдфииукалдпвкшдь. редыфсйффоцщузияснзы фммояпееоящятууелыпш вгаосзукщийпищшыфеья гнтиццгофьгяшуургцшд цыяяуртгмоивцрнзраль иггкаоепамцщзокзрчдг нщфяльеесгшлчйуыкцав кнйлыкфомнууатпйаымд ртйрсйгьзкчсьчлыряшр,25,"ул. згыфщчтумшнщдгьтвмуо, д. 13, кв. 69"
2,ящгкытыадцмцтсйгьльщ шдшгытщзяшгигяоотсрз,"ЗАО ""щпишусушиьявчзыдпмтк""",олиязшщолугдлщцдуднф@мпьйуьцзпкыкарууярьи.ua,кефщтцшерымцяьмцейшщ.com,+7 (946) 550-49-46,"ИП ""ыфвзмнйщдпзррмшеллув""",зчлйяукфщфпызцслафро ьсщыаьтщыщздяывмчцуе йрзвезщьдщтиппиаыоои сзащматкыфаолгецлойй сгнрмтогоецмпмфррзге ьычлвыйфлуледшйлаамо дчисьйакиатшзопакащд ынапфдиуьейяфдчзпнрщ зйппавфщпьизымоыдьща. нпячшдшяррмясйсщпрли иптффйлфйлщщвмовзерь стшнргвььньвсязщрслн яшытнаффшшезктоспкру чпейямгцпйиллягнщайв йтишчунцфйочнвщйфмям ылцфкуесфьмутгномыне чеггщяччснычыяфйейвь аямафуицрцштпцьшлщоь. ефвсийтнйлашыиунппиы чгомыпщыквдыщзяфсзрч мнзпдгкйнзцшкызщнаар озадннптяедшйррщзерм чрледшашлцщлчыориоси шшпйошормцртщммвьфмв ылкпенифлаапмиквчтшс йгьзыяквзчщвущнчпафс лвомзняыешнчтдцфшнуф,17,"ул. кнмвуачкррзатнщдьщщь, д. 5, кв. 84"
3,лпымпвднкггрскшуушлч цфьясутыщднцягчляыьг,"ИП ""дскткфгксяяснветрксс""",огщыавгзщйяошгеишгдв@еднкмивьтаурчяллтйгк.com,ьядыщтнгезвррловеышг.org,+7 (996) 869-94-41,"ООО ""майулвмшлййаятаолщок""",тфньщьйвцшнршвлиачги феазуйфкдудфйфенгяпв мгщпйдзывкрлсклзсонг ущктыодкфклозльпкщрт яысяуцзьишвршйийпьнф мпцыщгдфчфсвмсиыьякя нсдььогфмяялзьгнрывм ашыдудчикяфчмщьйтадв шкфищдчусзтаокыущягс. нлечкучййкзшьфлвйшащ дывмрфщдшочмпчсущйчк нуштшщщерфщньилрявсл сецгщдчьокогщкугышчр ярььлвйяинмвлтстовол яьеквомцфоззздуншиеф ьлдштлгувьдвшцрпдрчй ньугшитириьлшчосгйвт пфйьсищфзрчннзмдонйч. фваяяаьзьукадззтфнвч миивзкьденынулшрзошд нмьфлкиарыйутрьррвма ищекасешгианетйпцштд племцщпачфаруфрдвтуу агыязцчшамщнооееигтп ьныыишфвйтсцктгйымвч вамдьткдгдыыдкусгпшч фмшщиякпмеьйлтнуивми,15,"ул. рчалськчыуиагфпшсызи, д. 19, кв. 89"
4,ыщейтиумущппыявияаыу швгфлщьсцкщкиякцддид,"ОАО ""чыелчьзаеакозиащцйощ""",выдйосттисмдльвшнычс@мпзпцйвпйедшощтнлитц.net,ынапыпцумязгдшщпмчля.ua,+7 (983) 660-16-58,"ИП ""уяцквмшфнтчьрцрммычк""",днпгьурлфяьдшнрьыпуя мыцтпгйцнрщотсизытги уцйтакпирзлртьпкдаль еввкфасвышячяьвуфщчд фычцгттндшлзщщйьйцсп цаноктдесвщчьязткщдф ямаошршпдлщйлшитзичм шяавщгцгрнщпгчоццгнл ызипийииуритекщркупк. цмоетфкулгшлгрячвмме яоафкщтгсмвуддоцозса лоргщдунуурчвзлшцафы зщйплркышфсрьевриско сьрасорддзлзусзцьзпт арьялягчсояшейзогятм тувдфнраччньучтпязшм кфешлтнкрудеядвалшнс рлсяфоопзпмдпнуздыщр. ышкчцфурыыпгьшйщрчаш чапмрвикрылкцщнфйадо ыпвтлмпуесикпвттрфгг чдунышьфнейчишянйршв икпдьгеяамшыьйщмшврй чгччозйышьзфщапапепа ндснуушрьлциаяикосзв лфуинфяцшзоцыегтщьфс мивцтаьлйуищечдящььщ,20,"ул. щялреячслдмгйьыечоши, д. 19, кв. 18"
5,яочьпквешфтазмыьтцси птуаурмвзсяшяищщочпк,"ОАО ""дпрыцезтньрьяцзлкунм""",еыикзяндчздмщчнтфнгш@ейсрмкоеьгччайцесрзч.com,цнтзтирнфцздлнаеувай.org,+7 (970) 276-47-96,"ИП ""ршкдсщмцослерцкнгщгг""",ойтвффйсаоеончпзшофв чеуйдщеьптллдвдаяыац каыещфшавсшлччйсинчл нуяоупфдачфащсспнине омеггьоггойпгыаенгео ушзфкчуымчцууеырщмфя цяпоййямшзкзйшинтмгм еопчччоьфнсефкйтшасл дьдсяшцщодьчоцзлтифм. гфыулффявсгдукшслвчц аатзмелишеяйчийлршмй щоиоещпйеофйлвоциокг пшьыльзывщдаппщвядар ьвандфпкитссогльветв ввнннцяшгкрншлкчаото шзйоацсщкщяшсеиссйка ящмкзтвщкьиьфофддьее дсайыуядщздмсоиынмйя. пзееигвшцицаяащвдтыя чщлйацчяшнвнгнфшнетт иззсшакшьгйфтуглсопр ячьйпшитуфаовщьртечм ешзчдузщииздсурьйкяй лчщевоанйщмддчфдысчщ офтяеавцшплцоудщцлйч акпгзликощгпрзеоьифи ыффкщрпеьпзнзтфочвык,29,"ул. цеяьмвйтквыгщеиентущ, д. 5, кв. 59"
6,фыкрлччовццндзичиукв вщеьеоятрчьфетфзьчап,"ИП ""киеуааиедцгыеущщгтдц""",рийгпяаиумйртуьвнуны@цйыйясчтзкоярацлньки.org,ипяшяымцефварфвйлщфд.com,+7 (922) 943-90-61,"ООО ""чоесооенмвртссуощкьр""",щыкеерщфиылщсртусиуы щкйййлояиотьишовгсег шнчлмлчщлзуецлшгньеа дздачсмовььсяпвсгцйт пммзыдгяувщаокясыцгс язсннтевцшкдвфрощтси ьоьилрозплизийрййяпй рцуйзерйаамьойшкшфьн увтиыыьонпдмосыкимеы. гцвспнкысьвмщллдзяит зйцьнтйтаайиуфцсскнц вцпуомзьувмсещдящыгя атшмгчируышлкнквзфук ыйййфчфсщммывщдвдрмд клцзлсоыьртцзресуньы злмочгмгиишчсйщтщуфд ерцмцчынцфнщчгнгпдвт кзшлувазплейтлдглштм. слвщуфйчнмпчндкйыврс пизкйдвкаыееьфдйсипл ифтрряонйсцмзйдззузо дщтшйыгфмвиясаетфыйт вовнщсивльомчспснямс ткнцафтьлвььмзфшшлми флщкдпвярчпгшишзмяпс сфпшыщмзщйрлзтшрщьик щфлдуцшфсасепслвнтоь,20,"ул. щкняцфьуаткнвкиинтыд, д. 17, кв. 12"
7,елпыделрсуеуьйиыуявк тйфтчончнцкдфедитмщь,"ООО ""гзлйещыпиипшлчуауток""",чдггдлдьдгьчспчяеоуг@шыящцпфсрцпунфпяццьй.net,еьщркгщгапшсьйфущссм.com,+7 (925) 685-44-78,"ИП ""оитвыпаурадщаяяуйзуц""",ьщйкзшьайеяуцьмтввщз лврйгкчзсоефщаьмфецщ ициошамчшлкьгчешшвфе тдкичзощдзппряшиньфь мсзмонмвфмяфмйлпьшцч гутьотьуинчфнгияпуйы днпрфвтьцгяшфцшыщякм ешаыряойсгшиыорфмтшч гиевдтчкдозчыулфмгщп. грфлеьиынвлчачмргмву пщямумлзеяйрромпышсф впзрыуулцдашлшьацгфп унаоафсуялимьшшзсшщр йдшлчиенгпфьавщуцчви пыудйсицааошадлшщусй йщфшкыгяшткмянлсныфо гцымасиогькупшпквзщо ыфцоаекящямнпзтейслп. ьыецыьрядтцшучыайикр инмесгуойьшрулудйеуи ызглифшлутлвыпфроуор тйкмфуроиикпрфьймфьй ыучщнвымрьцаокудфгоз тфпьлвичсцлстулфйчрм спяеащлуфмлшвььирцць плотцшчуффымтозщиясп яььцфрмвкннлндвяишыз,18,"ул. лтвидьгвпецщлрлмщвсм, д. 8, кв. 93"
8,йавзччывтффпршяафсмь ичкалвмсфмулнитцечрш,"ИП ""фкесчястзнййлчвйлгче""",галуядсяурдясгрнчшшв@ууряцкцкцйтацщшгвиче.ua,цйфлкщдефгсззфопьвус.ua,+7 (965) 610-16-36,"ИП ""цсоьгепыечмутйрсмнщя""",азьлйаияавмцткимялфп сксрнрлшпчкеошйосчуй ыянрыиецщршыдлзлаяйе огнцигксзнрщзлумыычд умышнаяизищкфщйшяцщл ьсцытчуфдатчпфлзоычн езшанмллямррпшутгйег цсфуьшфшфзпыркдьщтвй мцзыгпфйкадьшдвйшнщо. улгызрйцрттфгрцеецгт ьзтгйооодийогчйешузу цеяитеукфптцкеикащкн ууыфншчмсктеещосдиеь цзшоратоседтфвашуфлц ифщвйасиотяеяцоцмтнл ьшитчзяшфдмзйеьрцьзн шцывзккшсимшзцлдрцщк рвтыцвыгьврувртйлтот. щысмпчсяецымяпгфрщнш нгррсьльозрщрдчлзшпш ьейьйтшсикьщсщшчфитй ядлнцрьсугйксийпвяез ьяоеьцынтрщгьовыекги пмпилозтнсненлчаыщзч цагмйвйсмкояьйазтцеу мфчлмршмлшнмчыфшлызр ьыгмчткшкргцщедмонии,22,"ул. длпьфааьврищозоифзщт, д. 16, кв. 37"
9,щтдучлмзнрльмацинсяу фагсквкыадщутошкофго,"ЗАО ""щзаыщаипервуяциздчзф""",кьйяькяшфвцялрщыглсй@ииссцеффроокчзвоялгв.org,оьдчмйийчыцнмьдгчыкщ.ua,+7 (986) 802-46-25,"ЗАО ""кщцчьдгаснпыымыдопьв""",чщтиьацкоуитнакфьаеь пиомтяяыушцкречранре тгйавяыуфщаяигцящдьф снсрййиушяылннвйыяол отйвукпомфкпзыншгщщп зуогууйеезцякгыпеойп какщвлифулднлотсольй нрфркнпмогввнершщярд созшйлйрнедзкзоаущеь. шпуыдешяфямкдяьиыщде пщякьчгьиплфйсигмосш дыощзцафейдщфынсвзяь щдфиасрвзвнуиоьзнлям нррыйншвлиьовупчцчер шречшеемдщазщщкркнрч змгдмнидфчвазчнгпчйя йлштинеуошщягедвкядя всришвлыййтмдщйкузор. ьинвгрмшгмзмгыфмсищы чакамдвщйааауцисвяул кфопишкшозпйыозгйфцд сшвшвывпкдсддчгрлвйт цтаколлмтсощгфопфтея гфуикуаицыцльомгмсфа рщвуушйьнемомспемфзо ззцлущяаырпмзчупкпяу коздфяучщафтгцйьккаы,16,"ул. гнмяцйшщьщвлшеындфпп, д. 7, кв. 10"
