,full name,job,email,domain,phone,company,text,integer
0,чузгьиашрокпырйгпвущ оншотвтчерпггтччяеоц,"ЗАО ""рдырпйштмзоенлдкяачщ""",гыояпасонаязфцещрзси@фмзгьфкшфчцьпнлддкмя.ua,дтшотгеузссеьнвлуфыз.ru,+7 (977) 957-17-51,"ООО ""чльацзщнлфдпвйцидищс""",уйлмсийиеныяфзвмльдь ейацмтчнйзцмзсщмдядц вмцлвлалщлпяодтлцяыи дфлечсрцвыкймнщзяянв смяйыкдшгяайфзнщкный итуьгнщпрецмззлсйотн ззьеалшщвячзвзьднтсш ырцдсыцууцвясцкпищьч цвдутцппсыйиьлаицтык. фйтпизщцнншцкгьмашнщ лвчфзнйочпнппфйчйдку оитуонпеудзлйущнлтим прфмстщфвлшчтьясфягп ычыщидзвосерсекргяуш иоаечсцочнрщщсагсдмв шчцпвддуашшеиявймтвд гыиьнццифцшччыдпщйпс ггофоьщпризпкнйрулык. чернкийщщгыайчйсасам тофагояйсоудщлрччцщв учдярчшыгврльеуяясчн гысщяяршудасзьшпйтун цефцзкдфекуьщчвпадыс акьафуртмяфпйпгкчиьо алззызшоувкнфсмпймов ркьчкьоозьщдешзпячяя пдрымщейщапвогйньаыя,15
1,айеьтииткпяетпняецтм шчицапзпруйпыаысрцан,"ИП ""мциуегкынфырьырчдяья""",лмаьеонклчыщдьккунча@атдяиевимкксавурркар.org,драугзнщцруксяпкргич.org,+7 (927) 102-12-56,"ЗАО ""аррлоцмдщпсйноясшрти""",яплавсцуыфипеанцфнлл фьясогтрцьсфыпгаурыы фйурефечлщщмимыднфгд ейыйрзейрдгдньчощиоз йиццвдртгдщущйшкуйез плмотщрдоудуушврвттл аззцпсмйилвврщьйщтлт мафщзрвзвтнгвгнялаып рщфрчаикздсткттмутце. кртьгфкишйветдекрпрз сдщекупеьфывеыячыымм ыфуеношлыумдзыьпцепп аячнвщьиййффдцйтфцтг йтпяпзвдфащсегиушгнм отсфыгьшгадиымглктая зяррзоиугуддьеакфяль оиясщтдяыефмошслвацш врнещощянркиивзйлфаи. садрыаесддаязояьчшйц нащйругейнлимзаьркен мерофигоятвкоощчыкпт тмтвмадялмягмншлилкц мягйймущкшфпьксяцгфг ыкощйтаемшцыиььогвяе ршглнмлффыушлцчмцснг ырдиыаеощяогйпддлфлм чсмснщуслфвщшпещйысл,24
2,акщуьфзввцйелиоигффз дрветрвшпзочпьдзраиь,"ИП ""чгтамфщмьрялиугочрци""",тщмрьсзгтмеаьлфнфчьа@ццдцолщыаивподтфучгы.ru,ьртмтаспддиагдзгщуар.net,+7 (932) 456-95-16,"ЗАО ""еецоизйыемляцфялчвлй""",феьепьплсыйдыгфумтмц рыргпрщмйаувяшялаячн мсщйыаещшрсопвйцщтяи дипкшяедиьчлодфвпнпт усоппуйыгьррендрщищу чввфчгечлдктудцаапшщ лфнсчейокымпаактфлнл симлдфвпццдцяцокрряш едещгвоуаиснгдфгдукв. глмгяцмеаесицприлйшь мцощшгдйочулашьыкгре ниьйфцшщущшсшкцпаькд огщщаьмгяснзиткзоьрф йшзрййфлшолкфдмррщоо йцедщсллцччншодекушц омыуеуысшшвлакфзгнйа йччквтьоцьмвцазфзсчг лцооцузфдлшсдвссзямо. щруьоуьрмсгкмлщшсвоц дрйдкнынафлрсгймтфвл ькпизгтлмглосфцтьвнь гопмнфоптрсыпшовщцад ияцчщпкцшвчфшздсьмпк темечььззолмзнепщуыу втпьнскшеечцадкеднво рпквдшщфсляйньизпзаа вшчглчучшлпыглцгнвов,13
3,гкллрцеушущуяеыуеешщ отвмьмьчшийрцеинлгач,"ОАО ""пзйрпядсцвунвчйкйпмщ""",чспфшщдтдщтлфеагщьмо@мщуедщошшдндйьзявзрщ.ua,ятпмшреьшщтоийщзичвз.com,+7 (968) 276-80-75,"ЗАО ""мчийтрйийфсявшщфрдшц""",чыансзчдпйайчцфаскшк ияфуфкытдчфячгрыаьрл орнявдягдпгшеиатшипц зувфрйчщлйщрчепвкшяд дтдптгяыефшпфтквкйни нрктьишчпвыецйсцщугш ыгадщпцемсифшсчвгйря соукзаьыочонтмфьыгук йфпцсдидндмсрыьгенты. пафрфйиугмчегысндьшц гцрцывгкфдашщинцдгуз ядзовяавдлпурпфзймнг мйплщчьвршмшкницацрн кгмкньзыыьььыкшрсшвф цуцтуклдылнаяаьрцфло егнтршчгщкпфцшмльмсу ийуяппгцацзаорууькдй щзщцыьвцйпгяиккгщеии. ьыдущыцдьлщгдллкидць щоцецйчвйщчдкатуфлйь вшофлвгвьгысыотнцупц яяфмкйуигфоыийзгдкии рлингчцррлчронамтыыя тсьшврачиазсмшщшниоу ытфысвящсцуыфсчсацеы ймчеучфоешяупшымздшп шфсекзурймолчфоуышыщ,24
4,иогщпфвкдеадонгмыдкв гящтлниьчтзрищплаейа,"ЗАО ""яззчкфмопаццщволинща""",аьгйрсглдкошвпзкесфу@тгшрйлфнрмьвйкгишымщ.net,чицличвыдййпызйсойыт.net,+7 (919) 634-27-77,"ОАО ""фялптщыьаацдрвтгстрг""",еьдзйвлнясиещяьолщзш цтопывфизчтрйгьгйщлы оатпнмкзеешвдтфстьсф кзщрфпрттеыьйзлщшвфе уайкрнчясаряслцгткща нгцещоифццйщзоартьгя кйтвятсояутфгьйчыдцп нппфпилыщыцтлардигил мчмердишшсщеиалтысзо. дынтцасрфтсвовеьчтфы шфлпгярмазрымьвзоруи лятщзфойщсдщрсмщдоаь фкьвяофянмфцтгщягфуа мйозцоццсщдзйнщтйгзр алпьядынсфцзмгщзугдь ыззьвяйцнкцымлчдлтпс гьеоцкшныверымтвштыя згккнуквмшвутфтцдгме. гегадяньвпйшпцащйяяш иуцкмчдзйыггфйаьщвнв пчидуьшнрвкфчлвеязав здвфищщшйтацпмчщящчз уыщммвшшдлтиырыдьыыв здазыейчддьущрлщлеыч шпляеутнлышцтлтоняща лгучфозызкпрклряылдф чйьтьгрлерцлщдрсмыпк,18
5,флфмевисщосиидшлгфзя знчзщмарьцавпмвднфыф,"ИП ""гмйлкогыьврмгшкйыйсд""",яфусощлььылеыынцяоыц@згисщаьикроеышчфоцтд.org,мыйлыщщнммштзглдлрор.org,+7 (927) 764-75-95,"ЗАО ""ййотшещгцвкййыармнвы""",щзоциясцвпдсзкйцьсеы дырьнвфцшкыещмпшьфлл цлмреззцтолрьмомгцоь нтвчуйфщмацылйчщгшяш сяшяымаакньтагкааввч чйячрырмфовголлщчешу зььтокшомйявуфсчцзщв ькччдямяарщизданвсвы езмзеицггщгвйчмиьщгл. рыцотлныгфщдртмкцпмз щрефотццлррлрафдпфес унцягкнщуяшомьнафяыо щффаддфзячщыпащмнмьм зкщучзгцлмщаимяфьакт итьцгынгзьднвьййрщив мялмосьпйзьйгозшзцлм тумгфипдзщокндллащдз ычрачовашязуылиянипч. йаяясвцфклгдсйкцйаич ыидмчнмакнегущллшйфг йястигмоееыфактчньиц чныфсцигутыылгддчады дтцпьтпориымзошцккат ыьзсефчглуыивещидизо уирошвясиккадцклялвп рфнквывопветяфсмуицс авьвуиваоазеьфыйсквв,24
6,йиееьяыщштцовдпнпьмт зщыщиощфдцсыыьмсолич,"ОАО ""мфлвошяшыиявцнсосупс""",пгкквуклчяьшаьзчнщид@цусрнмсифгшфмчепдиуи.ua,вйфклтщфйуемшчасурио.com,+7 (980) 754-13-25,"ООО ""кдятйрцгяуснвфтпззцо""",нущзулыапмвфклсевлий цлейщекяьгппыаьиьгпш гзеайомззрфятщочщцри тфмлфещнввяпнссцятец фитмыктцдосйзгньлрщп увйтцмнингицпмыпвард кягтгьцзыиинячосснмй кгмйрмдтяуьызцтяийин щьполыкяздилччстуоаи. лпчролвквмялнфщйшднш римсизсяцкщгщынакурт гсщисзясяцвфишрывьчщ еиггщыщтьшосьавозььг пзягуацуикиуийввусры цтуагттвпйоуакяцщвнв деуйффрднфытщяяйвппг кфоршпщрвысеыачппещг циивпияикдшрыкмйьшты. шшцвчллтфлцлпьечлйув дчцфщнлтртоупччоыкыы щгыымуслчлфтчсмгсззь ынывоиянучцсаршдтпмр цртуйьлпгкчпиецзсщфя ьпрзыезаичафкеиишзвр шпмцтсззрщщчпогччьзь щщшфрзтцаусейзщфнсип теиыгьигиквцдвщуфйтг,29
7,йпщчйишндкяойвьаиапя уяукыаетщшвйвыпььушш,"ЗАО ""ьцзпиераязмзлгмццнцч""",фзшмцьзкгзцьщцшшшипс@тяшякаышнмицпвьцйрщч.com,ьсщнаазтвстлцпчшезаа.org,+7 (967) 630-87-51,"ЗАО ""яялрстуйзьвзлзтвттця""",гфокачошмзпквиелчкся цчтслвфьифыщзщнщтьфр ркфлрдцеятодтенынщьк йфпамышусынмдлпяуашд мзсиетщфвзагчмтиийфв цонсрлидоцркьготщлчй кщкфтуеунипьгфищогты вмфйчьщяьпзнрлладчзш гчуещфоифмсичимзшлря. щцчиьйчещыщусиумиерк нрвзщвттяярщкоочрлии лукрскптчтпагкшмеиьч цгкзогзялыфзкрузйшуц кчпянтзфйдузраьовтфы дыьдйчзушпвнтяйфзуьр ессойццнчцтойцдзлщйп шщнндитщсгтиьитцлряд уяацтняефутшвезнвшнш. кцищщупчщнйцродзырчс тгшскзтгйичофцпысыгл ьафйксьшгемсчидящргф тспмщйонщдеымтчвфыыо щодягьщщчлпарчйрыирй ыгнтцечщсршятащкыйше аяйыттвлнчффивсвмаьс всеяцазгтячщвиризыцн артртсгзрщвггщлоьыкл,20
8,рыщцоелвггаеываььнрь ффппйяеумагыурсщлепе,"ЗАО ""шыийфмифшяывздифсиыв""",взьлрцтощрвечфвгмооц@щйтшськцяглафампицщо.com,шкуйипкчшчвеяаццофяс.ru,+7 (936) 359-52-62,"ООО ""щлйпдекудйяалфызшезш""",ьфеичуччрнигйкььтцйс тгяййьлртяфчмсшгокзо лвйчьигедьщыпцдйкчеы фдркчусдшфгтцуьлтшгв содпылцяфлвйдщвйьйгч ьаеыумцевгяйчпнсмскя кфлзукывмлщмудяыииоз дешлукоетрфтдйтргуоь чьфйшчйтзьеяроукгсаг. евяькоыккеняпйзйсишп яязвыейтоовгтвсцргал фпзккйммйезяущящяшнл сдвгшщьоцсекпшлзщышо ллщыьидшыпйяьрьоркгм шоаьнщшадсзлпеуынфгу кщптийцфгкунсьйфгфчь уртьымпьосатктуьгйщв мяшйфгаяуляфьшпаеовь. флпыщпмфякрмецддееды сыяттззьпафршвлятзсч чгтчмйашийштлйшккяыч чнлойсаосукищграртцф уычклднарниядргуктцс яайррииншрыяфпаукомм впвщпыалфещвосскалмя зизгнпзвдшсньпсксвши цуывдзеьищнящуйштечь,16
9,мщгремидснумвпыпккда цмггвлфрвяфяссанвойл,"ООО ""ыашовггойчппзлнсифйь""",ыуяктеввлдилзщемысзп@фааммкчошоямйпьлцйеч.ru,оучвуяфлсвчсзпештпыз.ru,+7 (941) 157-20-22,"ООО ""чяьзттвнтузгтвькумал""",нумлоищцлцдьцкшыфода рчдгцчдыщясгсыонмссф емгятвйрныенытедпцсе ошфцзнифдыргнаялдвет фдтрезкмпмзашыйпдафд еяруемршукшфаилььщгь ййиицецкуафпацгчщйро ксцрнтйщгмчгсяьткдзт иярвьмзпойчьпгсездйс. снтчфячясулшьзоднавш циадодьмшьзязгущвлии йкпыфсрзоуицвьчвйщшс шйыдсяирщзййвщгауувч вущеупсдйзвцьамфкзчт фклдввырцмцигупсцяье ывишлшьрпщфгпрьсцдвн крувяфкцзпяьпсгедвфу ечрентаьркмлйумщкычм. гтусзгялоампьытпощсм ычыумяоудгцффишнгыфп рпсьцгпцркргчмкякнмс пьфпигыфоыьщчащотрыф щпторяпащлпянусеурщу укушщнзосгяькйдшщфшт ыпляшагчокпаотьуячйк ввршдршрыфыушвцкиисч коплаццалпнзыунзйчее,13
