ФИО,Телефон,Адрес
киедщпзвквцнщьцемпдс нйдуыекзвукшфсяшпгно,+7 (979) 469-73-40,\"ул. щвьемщафлцонлзыдьсув, д. 10, кв. 16\"
лсризщтяочппрывншмса кгигагкмщйеяшвтщдфия,+7 (912) 776-64-98,\"ул. осйсзгнгысщйчучаимвн, д. 6, кв. 60\"
фьфщнеяетнууаннуктфз сщоаряншпщлфдзсшгйку,+7 (992) 619-10-85,\"ул. ыекйвлфйьчвйтыфлпщсй, д. 6, кв. 42\"
едййязотмрсьвокщдчфо кчьфщлтуйцяангняйоьь,+7 (910) 954-57-65,\"ул. лвщечсайфстддмыцфььк, д. 9, кв. 48\"
чнылтспеинткдмарипле сшпияндщргчодумоизму,+7 (986) 989-10-72,\"ул. щсршьыччшкиыррййлуыи, д. 4, кв. 34\"
виитопмцляфоцмогоьрь яццяемчьлящытучуфвсй,+7 (923) 131-51-48,\"ул. пципчщчаяцузчгчйзчид, д. 9, кв. 76\"
ссфыйцрьемнйзйоекдрк ткячесмлшчпсшгьузлче,+7 (913) 283-27-88,\"ул. иулчьтеоццшгйугпягчс, д. 14, кв. 85\"
ейррарчньеооьщазгафа йдифшцффадиоицмдьрфр,+7 (935) 895-17-44,\"ул. ошатааыынедкнпиириот, д. 11, кв. 54\"
епмшйпктщвоойшипчйчо кгголгегныпвындйцьяы,+7 (936) 179-30-67,\"ул. йцзыеезиияшийчалыцйщ, д. 16, кв. 48\"
ыядьшнгтутщешмтдьлек чфгфчпгйпуфкьвьруфчз,+7 (927) 554-10-12,\"ул. чсчшгявыврфщмвдшккшг, д. 10, кв. 23\"
ечнфчукфлишяфщйьнсщз ицфчдавсвмщгкпчфввып,+7 (915) 227-87-59,\"ул. фйфееедсцтшйоеаасшск, д. 14, кв. 22\"
