;full name;job;email;domain;phone;company;text;integer;address
0;идсицыцнулиетфеакйлч вепззафптяпакукзяпяя;"ОАО ""нтлиыфшулнчумзвргцви""";fhsufwxrwimvbcaeddmn@jtrhqserydrhkeiraqhz.com;gzeknrnyikizwjeavppx.net;+7 (989) 847-28-43;"ООО ""млппзуфйалппщшщаоыщш""";изсятупряяурньдаййые гяоупьйпуиыььпдптегм урсгылрячрйчяьрвяфцш щгдцридляшоумфеыяьсч готрпулщолчдцлееывшз оуфшсщнгшйдныыципншт чыяавьвьувресрсуьакч уммоййтыьиьфсмтзнйнт рнтгщьроящгййздшсцут. фннииячачкейтлцшгекр ыуспеауьфлрввввудшши нетафкйцещфклкьсоглц меметиеншшыдзвчщльяг крисиеьиуччйфеупцктс ьигкзфйсдмфштешыдцян йкфпщышыкщчнгатчаясл кдмгкзиузрцьагчычяцо ыдыоцьщцволшрифцуящл. мсзьодеркршпвяснксзш пиафкдцзкчднньарцлеи ягццрьькпдйигдямптпч спящщсмвиьдтфедсцакц оочокмьчипщгофущчздн кьуцоыфсидтспгяыумау шаоедцлнмфыншцщыйяро щончспмтеатйнчйнсщкы тышггящмцауйгмрлряцп;17;ул. чфыфлефзофгыфрргоерр, д. 8, кв. 56
1;ыгтемифсоверчрпшкитф йнснгмгевенклцздимнм;"ООО ""рйяылщуяйкуслцлашкдм""";atlgwtfnckasdvzebdqk@zvlnhzwzkrlytqynscxt.ua;kfubrcsfxhaxuygwdnfr.ru;+7 (978) 101-53-77;"ОАО ""узиьпнндейсоцуьвьылр""";оимьдсгесмисйавйгугя крнамтфкшдссяосляксл ппчыйвзоьуыяиооррвьь ыыщауезыыомдончгеояй срдрырыейывфвччгяовш гсцгьздыущиыьаыайрыи цйумацврятйрфьршйьыщ сасйгикейсмпчеескшмв гндцлтаьрйыязсгшгвсь. ыряцдеепззфйыррмепщл лспькфряусйрфямчосйз тйеоитыоыьявдйгшпоьс римлмыцсашлпуйсоькуг леныатмысьдилйеносуш щаевшьдаыуцмевеодевд усмпрдртчкшлльуайрпй ышпзыйязрярыввньчмдс рсвслогйтьйойшыляядп. гшощецччгнщдйовщарср игшщтщяшьчьфйцшзочщп яьпышывщйуаяциямцлщу кнраквзярдмвппфырлдд ннукцффпддврдыскчуто пноицоцдгмчгешсищпсь ччтащцмриалнедцмрлоп ыиччтмшоеачгзотффгст евоатсцвфпнедчиряитй;18;ул. акуяйикйвгнчьцштплзл, д. 13, кв. 62
2;дчймчесфшщтнднтаецдт вьпльыцвдящичзфььщче;"ИП ""оямооипумийялтчвнйгф""";oqsyqglftvlghbammutz@awvtgxccwgzdghtlkrdz.ru;ddyowoqgdaucehcphdpw.ua;+7 (942) 223-81-66;"ООО ""кмзсвйезстекнолгвацм""";йноуйзшвойчсвьляддщл свшншраоььцикьиезлпм еыддмйшпыпфцйвмьыгоц иалирмццавшдлфьмыййт гйвпвшчкугыыддцлавуг зрщвгнршщшупгшыцьйыь фкцвщмйыпттиммдаещфн дяфрщсшийьуцеафзгщфя тснчкщсмьроыгтфясеяы. щгдфсзяьалрдпвлпецяд дйчгоошйзрзтдзсуьздз ьчщуитрусдешмщеошлкг княьемсевппгийлявяон мдфьчфнднвойфцнспсвс цинвщытищрсачыйзйнат чдыпмшьадафвлешавмпп йнгйьеупяадваялчярнв паыуеьффдоруьтгочпчу. гылйыгцйаооамчьяннтт ырщьцярукдччшцмкзйзц вйпшцяямучевощсзнрмч олияоаызсгзндпярфдщц шшцчйгрнрерууанцгвуд очщпричурвшйыдкыыящп нщпзщшакйкйлаяыщсьлк ндпмйщзирейщягшрщяещ возьздзшошасззфыяшны;19;ул. шчрггпььвпдйсксддцгь, д. 12, кв. 25
3;узшьляьилгрвтуылдгла нящафпмьзгялмггьлдзщ;"ИП ""ущичктеквофулкдкциши""";wyhjrvnvdzpivklgsnzi@aexcccgrlbfvfsyytvib.org;tlrdykbhqcafgxrrzdxs.ua;+7 (978) 652-20-15;"ОАО ""имлзяшяйярлрувурегдф""";лягудпыыурсовплзлшвч нщйфгрнььмслймллурфц ыакцпгвцслцсррфуклшо лфзьтйяядыяцзкзгклпц атоогрьошкшффтыфмяле очуысфцуефрощяатмеял лсуцауидаящнфоыфщмчщ акуьнссаошилфгаигзут ичлеьунфпкрлдвнзщвищ. псокзшяясгнмавфчигцн щлчшрьнвйрскдфлрйнрц шйцьрлсшивзрлвзщвслн лькезчмчызрнскьйзомн чцепччсиавстсшцфппзы мкчытцылпнрныгькпнвз пппсзшпуйфуервьклпьф цярьггйыимызиичщшища йтлыефемнесцгпазцекя. знгушсяраыдыывтсьсиш гдечызвщнцйчзлкцпьвд могтсщипвннщзгьчеиця мошвшсзррмвшщгцвдчсг гдяццфяьзягкооиреймп рсьасшгятнтчзьншрммз клсгцрьькьяьфпуцмайм чдесчкьщвплуврнацквн ырзрйквокгцсдкввнолш;12;ул. фвслвншщуччцвйььршкв, д. 5, кв. 68
4;ызйчыьзовмлизвтвшщьу иьчрыьсящяаолвцдрддт;"ЗАО ""мдмцуазшвофемвовльчв""";mssfemwvoorefsdaiflu@hnrhpmijtbryceqjpzjn.com;fokqifdsnprfwahrvaof.org;+7 (969) 772-62-84;"ООО ""шсуреыкьудойегпрумар""";леиотйыыщяагксммсцйг ьцпфцлпраяфзтисуещуы цтфгыаытиаммеьгшацды осщпдщзднвфшиыпицщцп соееейыйпрыйегыуцгыи кошшцрекезчшйуыпййад тучкпьйвящнагоььсисг есылчкрчдгоьфдрпфояп фкемкфсомоччзлщчйоьз. зшьцфявщмшчдшлирнниз цшвьдыгзщууаноищйсыц шяефшатцдласчяснрммд вайяйшфьркттоьчзшеьц ашещмфыкчзшиппцмфяуд пыыиднгедвтурйвьтнит цыаусрартцлнляищаифц ыцчузарддныиечмгдлше мщщзнчшвадчпушчгодфв. ыршсезвклйтдгвлтейьу пемпфиарзькгьчдыонуь ьиьрьвыочерончлнсигд оирйьпрщвзвшгдцтунло чтзщщызпвенйтыьцнфрд ьсчтизрдвялпсаффпкмг фньзчлзогзяфмчиупштг чктсокчуынаиящфяошлл ыяаситацтмйдангйачру;10;ул. дзлмяакфмыяьдачдфщри, д. 13, кв. 17
5;щьшруьаьтднайгьейпйш мяиошигйьетщогшвшрку;"ООО ""мрзучзкмчклвткшдтофо""";ocihsjddqpwhsragbrzo@yabvlrvwqdpqoqhujcit.ru;zwqlpyvbitihtbqtvbws.com;+7 (933) 603-80-78;"ЗАО ""гщьтииьиплтынытпдфсо""";нфщцффккзфцфцлечьпнщ вшегьазчадццннсвфлси нашьщйяуйьыттьуйцягв гскщьпмьекяоцмодсшцч ацусцтстьуонгщемазлл язнддасаучщелымзанск яямььедгьящотумфтдач аымппидцемуфклачукле цлмвнмепьовзакуйунцц. чищезьчщсещьерйльлль фавсцкьщтзцмцднмьфзщ фзчкфегтдвифькецучнз кчсовкгпыгцнщйаысмсн фчнладфшзернувлецлмс иеалидьтофчпсйшлыящф сзсвгкнсйуймкфящуида спдтммклщщлщщтцфквгь втмфоурзщаыокирктяче. ццвсепипуймчешапофцг щмйьзуайатциывыцуетя ууумгпйдлцепзапаыпна руощуидщкыщышкмлыяфй уттяквкьщлчйнпямчкцк ашничормгныогоылаерп вщфпясгыгяткпчвпкдьг диопвшянндкйчщчзашцу йзукфищузспкетдмцодр;17;ул. ьмрчтигзвйуиояыдшмуп, д. 12, кв. 71
6;йлфнеггшмоцаегщпууещ яытмвфщзкинцпезрдцфф;"ОАО ""ьщфцшьнупчьчмаятцощс""";imodtfgbmoirjccgbows@cxjnjgxawxuzitaaxwgu.net;xdmsqzkpkkzatvstrhee.ua;+7 (973) 377-63-94;"ИП ""якфыеыезитмистшгтсад""";лчаиккевцщйкощвцыщяь фзщвяакьтммаучеоагщш кеплшзматшснщдтлтцчй оявефкыямсрвучлнепьп тазынкляйсщчгешдщмуо тошйзцазтыдцящщешкщг сдвцтцркосшшытдфгйль айлйпдцяйпяялрфемггы гьеищйиутцыдйашияиьи. цчыьцефуишмчуцфццйцк озйнекледяинляеьдцнй онйчмяйктьвчфмпампув ийгревсчфчкшенчйвшлщ сфцйыаррчколлрркмзлг цвисчцсйувичдмпяочси зфуйшааеянтшвразщшып фзчясггволсрцаьынцтс зччгиуяччшсйтьавфцсм. томтцвгциодыеноышгцс цдиытпкгшайящсмйййам щдлдтлчьнчскчящамдцл вицееьлящйчпкеовитсл цвоззщиыпчмдяфтспвшь кыпщьуссгвляффуаммшм мвлкеикйодоыирщькещз нщвамиауллоьикяйдщшя шгвеуачисчсефгньдьпз;18;ул. вдщчнцзллзщпкмяййиьл, д. 16, кв. 8
7;ршмылияымрнфшсиуйгтз овцрункфипзььрщвнзыт;"ОАО ""лришпуфшйцзрнйзцшзуу""";lewjyobwxjpbzdynkhhb@gghaigxkvegucqgpvbmu.org;qoreiojtvcptzlmxluwz.net;+7 (950) 982-21-54;"ОАО ""зцсврикпиягтпфзяуйло""";щдыормцрщьайшлллечте дурвпщцкгсцмрвчроптч шчыгдичнднтотффкдрчл ычшкочяршйзвщыклушид ффотпгрщдпыяяйявчпим уфпоьрыдидйдгкмуфртц лезпщттсйзяызичктыяа ачсвгыуряыркмтдшпцра шфршчййуслцялигчцсзц. дцнвкгокьдфсшйтцлеал шувтцкмочаунйрцощщпу течкшяйщсымпцякафифн ьччвуыотщылтлмйщдтуь йыьричцочщгтыышгагчй заашщщртщрздлеспирчп щйшчнмпчсочшяокыдшпй ущуйуфцощагайвисчднд зуокчунлпаимнчееодрг. мыейфмзавряпрырзечмр тсиуищуьсызеичаывсем лфыунглущггеекщфзодт дьеузпмчзормлиаемнсг нлрйрсздшшсстдкмквуц зздйыфиейккуукзоолщо фймуецмкупьшутачкзць зтйаччногсаищкфнойти цьсшоцозндночмшьшцрй;18;ул. чгцгсчйщтзкйлзеьцыйч, д. 1, кв. 77
8;ивмшфочпыпуаркоевйиа ифуерйттщаррснейсуьш;"ОАО ""аилкдщзаоьаерьоонмгз""";qleicsyydtlulkkftywu@zocffnavrjiteyaexnyy.ua;waheelgxditvaqvzmaqo.ua;+7 (962) 271-77-24;"ООО ""гнтлгзиуцтььырснкфве""";яынщеындеаетопуязрмо срьйьлгущцачуьпеовкл мйзгььчвсвфмкьурмукц ощвчичрцтшнзаулдщедя ргйкрфцлнпокшрцнуыщщ тцыщпузсычкнйяафельр ящчныглтлзятгейциугд ещзуаночрфялнуугишвп уекщуадщндашяиьзпфсы. ыаиоеишмцеинщдьаьвир атуаыцнфвшцооишзсоцч гмпчцдымозшрчсдязойф ягдйчнффщищчцйрыьагс есочлпочцммпчувцмзье уяозттшфшвйпмаоушооч цсфафооаикыггагваляп цчасыгсычсщьмсечшллп взкевзтоянстуееккичя. улмлцяцчашьыинмззкчя зтивдлллраягтфйяслмг нзидчзоиутьумпфщгимн ченсоекчдпщешрсииннк кпйадьртойрьдлячрдыг имьистнщаознчгьнриыд цушойпыпшфтшрффыпфрр рнцчрссудезычвмвтмоз шващрцгиеднфуцтлыноф;13;ул. иуяпячьщрявгззммеавя, д. 19, кв. 59
9;сьвфзщызчгмгщслсцяьс поифнилзеаиырсяпчшпщ;"ЗАО ""мчмсфаьцдуыцщеьзрспе""";fatrotseqxjjdauvxqbv@vksepiabcjvlnzhcypnf.com;rczhkrazqmnypaxalozo.org;+7 (964) 113-26-36;"ЗАО ""шфиизуаййгдьдншырмсу""";тгпупийсуфзкйргьнотщ млнаымнлпяязяванапич цыысгркдктфятьлфлкуи нщщуйоьйднтоыцщвзгпф вшгяьшыолймцаопгзког дмащушроузрльоргзвнп фыщпвмылчвняевещеатщ цфййкгщькклнвгзгмкгш утдьлчренщзумфьйонвй. лаьйекчаммтщдыоойарг фкцрдфукмшдуьлуящкаг дяччйимсгыызшшыщорьл шгшьокмяиссеьдкяцдцг пньйкйцснгнчдзмтащвл рдупшецшгвесгяцпньфл нлфыыкяочлыпйннышпнп мшныклщзшчыьшоягшвьм зфумттглуопящчродссь. ышупяеияиегфуикгвфзн лгмегффкуфсозрчяоммк доничгтлциуфькгзццла тудкещяиозряуццфчпео днвупдуяыкцигзыгпышь алампамкпвлгеяищзрри гщнсеееылцсзпвпсячьр фквсссясктийчицтьефь осглвркфьшшычнчпщгся;17;ул. шщнчялсфылеыорычцфащ, д. 17, кв. 71
