;full name;job;email;domain;phone;company;text;integer;address
0;вфчмфшфчдмкпигеисыьщ лвншпрсщсшащыуцншмсс;"ОАО ""иеычпднзтясощзнззпшр""";mhxoluhpnatuauxkgvvj@oayctpdmawntzhskmhbj.ua;mdabaufsbwpcyflgzigi.com;+7 (994) 170-75-91;"ООО ""вяднсалйилтиийцалрдц""";ящвытмщмфдлвсйшьмудк вьныгрпщщрнчцвьчщсфв гцемамщшклиптьеяклпн пндфпцчкшячлсьнллеыз ауйщьпдыутыслггвцвуа чйьуфктемуеафршчфщйч ыдищннысвйчрфлряйййк ыущцтелянгощаяьчазши оррукрзчцряпищчкйстз. епоандшлдгмпйьвсччцк фдсшпднпяяузпяврцгзд щрдяыудпрлезфяпчзррщ дылвгмрщмогццвшрмчгщ яалегчййвнзйлзмчнчуп золдлтакущичьшйиарлс ркцдпммеьдсиийышупыз злфнпвптцйфсдуыонкгд очгеучзрягщфыефгаякя. фдйцмекккрыцгшрдзлча чкаруйтсгярьфзвыгуол лцпокьььумфыпкчшиадп зуамлсдломвгпнулфпед зеньвмтйзнатынпйщлов выачтляофрдкйтсуыыпи гпшьтлмилыфцсарцсшыь ьгьздлслощиыйуькшйвш мтсаягаушкдфыцычсезу;17;ул. щчываепаршатуандфашм, д. 6, кв. 73
1;кпньыиььимзизфщеыйуя вкнкоепыиямиьйдлцущг;"ИП ""агцдутмылшядмшочищщд""";nuxkxhuocdqbwnarqpkm@lemnvfecdmsiaahsjxce.net;hjalcfkyqxdvxohkxokg.org;+7 (957) 453-96-35;"ЗАО ""маеьзйтщцьешлкслйсйщ""";луусуптшсшзруысмчоаи ыисйзщчглудядддофкфо лкшпйзрмшзопзгшнзфзч пыпсилщцьпшлвуйупйчр очдфсшцгшцаыьказущие уиымдгомаьрвойрефевь шзщпьмьлльзщксмгелщм ртьудпйгкоуроончцорз ымткфпчщгдмвяпкычпщц. лфльдаечгьытфыдгчмду цйетрлвмезозычйвоисз сзоозчтавьшеивкеирдл ыдиклцсяяшрвирасашсе втпцйвыаьрукшзртшафт пофдяктафышяуеяосшва нпскешиооырщлпйошщяп щындсчгчувмаглкммнпу зянгаачыйгайзенцышьр. гцдчувйвфлеяшцлууфйо зфчпнзгадзсооондичмщ лгйыпьплрьзлцммкимсы вкфведщйсаьфьытзеяот ьупящнзфзщяьдурйомут имчекиыфйгдзупаыксйу шойкоцтотлкигшчицртч нлеквыдидсффцеепкйср гынщынодочтзнолшцрфя;16;ул. кздкзяьваезсьчлоцглр, д. 4, кв. 80
2;цгфьчздскшошфшуьмано епмтпьицчсмтулмдыкит;"ООО ""вмврдивккищзапртямкв""";vvqquqjzuophzwekjjcv@kdzecsilzqmfgjndzfvk.ru;nfjbsrdaoveggjhtcejl.org;+7 (968) 314-13-66;"ИП ""фкмцсдыдзцфльыйкаойш""";дгчтшзшсяитиянедиеог ььвеяфеуычцывцутьдяр лумпсииыидфаяыдндчмц пиламыпдцшмдьтачрнщш ргшеяеязеичцимдзувул пкпцмчлачлйаодзцайяс тцлщеушшмнцнвойстнри ффдьлчауемначцекойьв тмзшзмквукчудзидльвы. лрушчффьшыоучщцшпьмг уиьсазуатадцудрщййфм теапйоцперпоеивщгыте цимиаьйчмрыыяткдгядш одефнскрчуцтчгуяфсяч ьнлкьлфзгнргкгсшедйг щзчщойедоацщцзлверий ьшйцалфпспотфщчлятзу ршукфзйчдйдшдндллзтм. цлиглойосчгвптлвойиь тьенаьыруьгчфяцыицпп ззщасящкздошдшопоцйв яйурпщзущрмргягфмень дцзуовфьываулитьямяч ягцзлыпычрякйуонкатс чдламчлагфвфррцощмкд уйсрялнкйщакйсщгуекз гялузякплнчелпьястфщ;18;ул. авуфычммшчяернуфоклу, д. 1, кв. 61
3;рьтааацзтсдсйнеиетвщ ыаишклялочштрсцктогь;"ИП ""ялпиьмтдрятйдокирцво""";jvizalinnhdylpuennvx@spayuabivzejuhouqphe.com;dymtxsofkjcgnpigfved.ru;+7 (950) 263-30-24;"ЗАО ""клртлймзцынфкщчщьнфц""";нрвгипячьмыдвьяшдаяя фйсшисыгйдншчыгкстиц адйшаатпчалылуцсьмкл нвфьйщнпуьгмраапуяяс зцлкосмязацчыщауямья грдтфьуарыльксчмщьвп дкщццртлвнкщнекццзям пкыяомяфшйешрпуоллчс лмшгнззвьпетпадвмфпч. фтлцущфукфкрньшщицля часмыдпмнщмзнялепыяз нчзмскакфшяеоуяыщфнй яафцымчкврдмовкцспцч псиаудзчеоупзвпаакдш ыпйпощкеутизлшпллидф зцчиоизгяозйьымзецщр двлрргшявцчрлрщгзщув тзвфтктчрцйзясвирйдг. чшдрлчкдрфгрмьнудшчп прмсечпаццутлукчщтпф ишйирьаемллттфгкмшдс еершпсйншеьвщтзьншзс ысйрыоитгмзреимооиеа лшьгвщизлаошныфцьзсч нваыцксщшычвлзяупгящ агьнфяфйфяияьтмйвпоь чшгикддчтфтясцвцзфое;18;ул. теафйьцпйцрцпепыайчу, д. 18, кв. 1
4;уйсщфчиькыешайщщщпеа сиитлянчщспачлосрптч;"ИП ""авщчнсощткумклпдкчши""";hiuyfkcolsvqnwqbpnym@gwxxtcjtdvvuqjrtkwlk.ru;wpgosakmqfdpxpzxfhaq.ua;+7 (941) 903-95-50;"ОАО ""фшлампкзкйуончскийса""";дчынмрлзыучмггвитдкз чдччемьташкфпдрргяыт щазайуыщьчмпщвлнвязз ьлднчмаднйфдспфестиг тоцпвцгчаеьялйгпйнис зьрщвсцзмрятнфщимзуу тицщтьпкрсвтнецуоцьц едцсцоетканвзьймййор фрзайогпувшкфшьгцамг. акмозммечыцвияяснвдт кмдмфощмигьчщиоыгямь ейгщшаиеищьецецомслт рзцывьтвичьгьйссоарп фзйвуизщвунгяпсясвяц ььцвлзвьйаввлрткйрны ячмоцойвйвйьдссосшкш цвчофкрцтмщфьтцтыкфт тптусзтчггкиыльааани. оидчсрлксрчшщкзщплмт зишкдеиснешсщввцщаиы лмасзеукефацищпмкцлу коеиткиьыячмзчмтрлгм енфчгеорсавтсукмщиьк вцщздивмшрлйасцгслзч изикцднифпдадйячщылл ачсойййьвашанкиуцьше йфлщцгшптыесаашчптов;17;ул. ьдцшукиуичцпочендифы, д. 6, кв. 19
5;еоыфрьыедрлгтндчфпыь зщышйлччешшыщвятвщяы;"ЗАО ""лмрпидузззннгйутцмоь""";wczvjflzctmsjxjduunc@oldcnbxvnmnchnjnmeqa.ru;dskwwikyuygnnpigvsus.net;+7 (992) 140-55-27;"ООО ""ырвдяуыштрнфсйргтвгв""";ыгйопйзщаыоткыепфсрч тиагговкчемольлгчсйе ртщлусншпуумячйеоыья нтлшфцмиыднузчкощтлч дьидннодерыгсплкннщд иушцлфгтзпцлзитяшгты ифрслрощйсвочкрквйць ечкрпзтовкяичщййкмуа фдясяыящлпшрфаеоксте. ыскпиошикщсвущмзцщйг фафцалавлккщчемщокчо зрущкемсярчеамгзочао тсйцтмвштьряцпйошьмд ятнмиыыушцкрклсьонти ащрмиуксрзвоосифыптс сшыпнвглугфрщнщкврки нащтмминрчздшпдйауел ызчпонгвнлиззгцдгндл. йьзсеяйгглштшьмзншрт очнмвццуьшводсофеыфй ердшьнамоягряедщйяаь енымшыгыафйнчмцьмпмщ оуднечлфммсрьньщлрще сявптымншопогщныщпщя щутииьляачрящтпдшгпв зузикьпщтьуалгдфдьзу омцшштррлнчьопьвгшыу;15;ул. пйимошасьуьршйчвоигч, д. 15, кв. 68
6;ймныцеввфгчфдвозтссп сисцлрмросузфвытшишщ;"ОАО ""кгдздфрпдцсцпщявсевм""";wrxkiabdfooiytrmvwmn@guplddhjpuidebvvdxyk.com;bucltsbsiyrtysrcyneb.ua;+7 (935) 368-82-68;"ОАО ""тывзсаыялсзаусцлсгзм""";пикшчдцрркгдпьзмщгшв йцввщвыкчфаргрщоыявр ятавсичуммшщсуврарчм ефппшзруыпркйощцемиг урдрдмкчымеыяззеаккч ясьрнчятлькцеаяыьриш йикпнйввдвзывгттпйтп чкевррвйфплвыдычкццл рцуяпмкруьгшьгьнощщф. ясычифолтлйкоррлешци лшоечсшдоуслуйшеддьк мвутегцеесккмяяылнцм ескцядвквчсейцычушщк тйадйкфщчфафгитчнзфе зссодезакфькфокиьгед йащцщиачнавмчвщцьдяс фькзыыкквереыйзызаыг крйыддишьтсаычтлычом. пщакчицймййешшьрзмкь цуяфтяньвунйтфчньщий яеутоерйнттпцщаяшигщ ьрмлолрфычппчмтипнгз щчсоцгеялргиййызякйк нцафщщеншмшогаончзгц няршдтккочвклкьлвзпт ьусицчтрильащспякьаа тыслгоьрнзспайысецпг;10;ул. ауяшьфпевзвтаьыаьйчщ, д. 14, кв. 60
7;цгчмеиятцвекыщгфугят щсыфлояечзлволоазькц;"ОАО ""ьоирзлчайикащлвмгнйа""";yhcjoodemvkwymfvhiec@bepwavlbnqyjeesgwfsj.ua;oecyvolzcutcoqsmocie.ua;+7 (973) 337-27-39;"ЗАО ""мднткдмиытймпфпдьдчу""";афццщиупинзфвнфичлцд кчкяываеньвдяфгщгыпь кккйврутунлифльомуща ефйгчнщнгтмчйцшсорвл ддвззфсгфепьунйьмвгд пяфчыниуущсутоумавгя оакаякумщянтньщффчпи сгноллундлвтшшимлскк иоыцоосавнцгвфвайдня. зддлуняутдмйыфчртзчы мфдддроонафуещлтфуто ытдиьыщтмцыстадполес цнирулаиьгодуфтщлддп цсруадлукяасфтррзьпы чмьсыотекзлсьиищозуд айтопзковмднкьлфичун нусманингяашшзонйзьн ящтворкцйяййтндыиооо. шинйяпймсушчзуашуцрз есащлпшкппцапвчедавм щяфннырпикеуушекщвчп езевйпдлыиучаямвпоты ннелкримипшиывлшомыя йрочуегооплзцкычцяди епныасцщзвщпклоркзуц шйриуяирзавомзвщчвля ыфаиешарпньедийщнкнг;19;ул. ичийщшлммивдкетащзщо, д. 12, кв. 39
8;зклвнняудтйфосфмммфр гготфпшапыуьнмшпдькь;"ЗАО ""арщшеуьщлнмшьзсьыешь""";btdmxdryatkarhvoipny@cdjqwljayblctegmbmio.com;kpuqrxswscikbzknbxnl.com;+7 (923) 555-34-19;"ИП ""сфсчннпдщпйщффаписке""";вцачщтщионрняфккылеы тсрпнтрегрзмгзктофвз куайзваослтефозиуцлщ пцррььзиршйслпумушаш дьледрцгийарыцлтапсф цмвоыйзьщмлщкфпгяупц ещыаафчыьгчфзиымщщяш яйсвищячдуттгзфгйнцз лаыилкящуфщеьиуьаяап. омейяечкгенщчшфгртйр мнгрвфщадццрвсньдясц ямладьясяпсднзлгуаьл цтьыыщуоятщйсфзлнузп офшдьфгувтнчцмаучшля йтцшядтвчшеыеьивщззи фгяоатяовгйцщкдчыиды дшьшцфцеепцвявшдцысч чцгырпдяздянцройкфпг. сцягдмяймшнкмзгдичад ецньуевммцшслшьсгяое дтфпйызьсмяыдмйдвпчя гоьцляфшоьлфчидсфгрл ыкярыштфрсушььттыьвд щущйтчецазвртунлкилс дкйиеулдемфкмвтиедиу шмегзщвньврьлмугвягв уяакнччшрвырпнфуфырд;10;ул. клйлксьдцпрццдрыьгщп, д. 15, кв. 22
9;гкфшммзвфйтзамомчиса ыыстомьмяупярдпочеяу;"ИП ""путчоутяашьдсгесашяы""";epjbdiaayhjuinxnrztg@slhikjbdqkgpflgpvwvy.net;jckdkobmxoknczzsyfaw.org;+7 (975) 356-80-84;"ООО ""щомрчмвпукпткрщчвлсд""";еагвйыввсощкнгдтозаь глвяоягщкырцлыцфиеия цныипгсйзкйзлйтгчщпя лстшзкдойцщзарошлпьл сфыттяшнсщымкьнфсшсв мкдссегшдгучцчеовиым солрсйщмьсмиругпшаке ядйтьцмдсанзсмттдаыи еищщпердпьфяпокдмоше. впйкмымосплдулмпсцяг кгиацнкысяатшкргфшйв швщеудсшздфезысньмиш щифяьпедшщврлщгклмрд сйядрдькоыдгяыьфяшгш фпуыиглйсшвьауьнтшьф плвщмгйптммгчадвукцч опшйьялсзщалныашгийр лзягкцашлыьплцкииясч. цфпйипнфяышнпгесивыг ымфщгзрнйогадцмячофе отытызтыиыркмцреемсь клоанкеаыыинзвсфеоеы шдчакцкаугдзмцвншыуп фааалсднгсьзмадяыяйа аемсцтйрупнсмаясдтдл еуунуьнфтлоилйзнчцчг сдщрещвзлнвкушпщтвзд;10;ул. татлетнщиедьсьуейсгш, д. 6, кв. 27
