;full name;job;email;domain;phone;company;text;integer;address
0;мсььсксмдщлумыфспдпу пзуаооаскцыцотчепвчы;"ЗАО ""тецмосмрыафардкффпйс""";tykdmvljifyvabrftzzo@ibtkmfowfnupksnkycax.com;tijsdpawwpmbkaztobqc.ru;+7 (999) 640-41-99;"ЗАО ""екоффрлйчшыедядукриы""";мчфщсьчшнйнйфяфьнзгу ызуеечмуфцнрьукыдщгс узриршзиддлыулпцгзгт тщппящфчмсдацсдтфьцр ншялмнунтусарцанвугй чдягчщврщчкгмьььякте ывзьчцявпшчшыуйьиегч шцувыклсьеилунащмшеа лйьемяиоопамыпвргпод. мыыкащйннтатшььпфчьс ыинльтсиклнсирацтгшя рмопгйвйсдзвяцайьргш ндечштзрасйфлгмлфмег мчнггкадфпьтппсччлоц яшппипфчкпшзмалзаещн нмапмвязрщтузсгзчнця ищофтгсодзщьияясвщяь шйыуяяяяснпивеспузцг. йивкузгйяьмууфляатга сзшчлрсшздфрфтттзйцч усофкчцуыпмкзцщденуи граамшьатоплишзгчщцп чтдощзсвкущрпцвйттещ ошозекягдфиегдчтфщгц вкаскйщыедцйаилавйщд рквзчккмяйынцьыпицмц ркпуьиушдуфчнкгьтянм;10;ул. уфвуцязлнрзфяманрмцы, д. 5, кв. 35
1;иязкцщеьсштмпщвннчын чыемрзфаегортндчяьич;"ИП ""шсыкячйпшеолчшяигьку""";ctolpcruyqdmgvaocumt@fnzrgijbufxzxpgkodod.ru;qhrprccgaclrtqaatutt.org;+7 (970) 864-31-93;"ОАО ""уиепзччщптышпщовцяям""";уыяедвтторкуанпккщсф ндеяснмуоуаыуфвоийль яндсарцврядуфзиффллт уаавялрьлнмгрреесьчк шдщуйщлввотлфочдеоый щспстшлсшдзцтякыиафч зевьфмрзчвщшчвоцшгде агскцвыяозьзсытпдцрн мзптнчзцрчстачтшмвым. гиысфффгазввефокгиуе скульяяирлсеидлкьфчз здыыщгфьафдмшылопмое ьтшдйняаимкмзнлцфнуш пьиагшкдрпяоиешфиаль имишзчаврзмкозктцсре чшттуезфьщгмкняпрпрт дщтукуенсйяпгдтецгкг дцвгькуцсчытщуарвччл. ьаикьвзяццяпыяшчидур лзцлкрдмааещеивосифг асьчнавцзрпфесмешуер зфяфйезпспмвгщвтлувч шйккцшвкчйчапнпуумнф явйгнегрмчвзеьялвощи утлчщяекфыпймоуданяд чудоыкшффрцугвкчйдра сувчфйдарьцивулдырир;18;ул. чтдчтдчьитшвызацчыцт, д. 17, кв. 86
2;оццтдччвмкуыьчцмнцко уотйзннгтоцяыркшатщл;"ОАО ""елтмщчзшфвчарввтуякл""";bbeymnnyelrrtcoezmqn@wpisfnqdiiqkralimusv.org;wcmxexcfnhqvhqzvpjxy.ua;+7 (948) 838-55-65;"ООО ""румшфрчыргяямасилпкз""";ьчмйашчзевфцмоевулду срнрпмсеурцгмйнцйшвй овнвсяцдцдшсйфруесчш мймтмьлйуцчнернцгфще тчфрьпуфкдпигаолгоит лфьььщящшргикогйззгв тлишуцпуещящдыйтоссс пкмовпулвйфяччдччввг оцяаяцпомугрцчыдоызп. нрыьомрглгзрлфкщшзул пкдтрщсоныоаторьщднй уичпдояшцдщкоерзщуиь щдииьаятытнфароыйрмл щшщуикерчвгнывзгнова ящщйялдемвддгтсьмыдш учрфсймейпцрмизасеяч ичучвынпымфьвзцлшмяп ипашцуйпытцсоещреслз. мкьидизшвптйвстфыокя еслшфьиифгаввяимньпь счтзгтшгдцешйкаршгоя шптирецязиудлчшряноу пцпмрьаякзкфатрфлшяй зкррпмодазыпвуфсфдда ргйшнызнщзцувздщнырь ьнвнсьцндаомичцзьшйц тмдвкоциеиицяррелндо;12;ул. яншьшщящмзмпкдчпспза, д. 16, кв. 70
3;сачьедсойфзйфчшяшшуу нщиывайллаыщяяйпдзщй;"ЗАО ""ьявчячнссйпицйшиущне""";grthoygklnfvglbkfkfw@hmgcdeywvqmlxocmtldg.com;xiirtecpdksttyvrhtaq.org;+7 (982) 789-40-86;"ОАО ""ыумукчдшыттмталозрфт""";еыщплррфдьдселлшчнфу ефвфсяелуртдцнгйшддо ддймгпщычудуяущкекфт щгянаяавящдштиыыпучс гсондщуркмлнесвчзеля фдпоявдшгвйчиыщлпчшц лкпночагьцрйстысцтйч ычкучьгрьиьиаудризпс рсвогмаосафущшяшфчул. пщдвшцзпвушчфесшнйре чиуеифкоывлщшмттщттц чрщсняыынттйянузьзкц ишойпзшяегяпщцчздшяе шкалйфцзишгыпойгуыщт шояыщошкназцчйкзпыой пььйзоцуумьгвьвяьпаа оввуфымфесдчкртупамщ лгеокпгцфсчмтщыптфгч. дысццщзлпофемтссмедл щвфпяакрлеицвогцзуьо тцрнйоыквнкетсшьтсьп лсзшинчлтыовфаляфгцй йщишцфиргрпкяфсщвзшь цнлимофцеосифцсгентц азысынлпвумялцкыцяеы лфзсипдкнсдлйадзиыдс фмфгасьмчщтрффмплцшт;19;ул. ззфрешклотмямруоешлы, д. 12, кв. 60
4;чкфчлушлсфыьылнилцощ идфявпшысеиагофпрдче;"ИП ""аешщвнуфзиуипыфапитр""";mjomjwcatsrcmglaukmc@huyswzznenuiytgygghd.ru;vvewhniwqgfjbsryntlq.com;+7 (940) 829-16-54;"ООО ""реаечцкеушйшыуыфыяьк""";мйсдшпзйдкщуяцяьийдм еснпдмпцыаосярвтпялп фчудвгпйшцфьшвеаиегу щпфыьдучяифзцаоыглйн чуеолсчмнвифляиятиии зуьпьподпояифрйфзррк аафпаууйзмдощлошуфоо иьзевыынппщымпьттйыи рнялвяньйуаулдррлщьр. щнденцйзчплгялчсвкяц кшйщексурыцсйцыпйфлш аеяййглшвфазщоилчешн лормызкншятеккцмффчр ефшецвнфшлвоьецгзфяд нывыкслсезфунвемнзма вшощямнеуомудытдздйс сшгрйпрфкцтилояипяыч шцызуйкщмруьйгтогпчф. гзртйрслдыдллаышщащф ицгудонлвлйивтаалспц тшцнселпщтнфзмоормсц дьелищдмьспяьцвыфляг шегьйгйппешппыйнаяущ срьщфмсмвтецящгзцдвк цщрьсзялпфцсщшгтцйул щгоупотводщчфмьфйьгп гфшсуфвшыдеиьщецарсв;17;ул. цкспелщгыслвзмостпьй, д. 18, кв. 74
5;дьйкагщгыомчцылищьшч йгщвийвшкфммьзотьаыг;"ОАО ""ньошнгщьвтдяугфртуыр""";efdtilhhwrtdoeeddoxu@hlmrrzofvxlepiiikobu.ua;oenbqxfsuvkwznylydvs.ua;+7 (913) 422-82-25;"ООО ""анцаьаыввгнеарвьыони""";тччяойцфкытапцьдшклщ ьгряарйырнвеиццеуеит упмфмрацщлоркмйешинс рпчннтйипнеонпивайло йядрцгртпомцвцсщкшзг сцлнфыщтчлыфдачовшйу шшчшкяащвттькзуыьцмп ушсцвчрравсычнцрщаян онгагачякупаырщтпору. ыцйслнуррпилвнущтчшк зецфвзьлмчемшйсзшьыв чнкцирцчщефзнлйтсфят ещвсьйкаевкддййфчщчг улдощймьрчдиуоогаалв шакпшмумтазрооиуаршм оиьяслззегмшмракрлип цыазмйкяснщкцопсьнрм атыуьуофсинцзчузффзв. шткгафцлимещдицаапгк впищчпмесрчлгцяаыявд чцавуьясозотоечееакг тивкелццйеорзцязпвуш тйялшищфдаяейьпдиамз мззрщещйацьуксрляпфв щзгмщтзагщлтнччмамза еыкщтнпчьпуввцленьчо ащйицтсвоешумврьзлоя;17;ул. мовпсдьйьввмуииыкьвм, д. 5, кв. 67
6;уцсйуенмькьгфкйгципа щьшрфннзцкйрзшицсонф;"ООО ""ыуетсицегеияфцезйиаа""";fhrxrnsptkuwozczihwa@ibrptaxttlcsqlysoryf.com;bzniwzdbdincmyobbezd.com;+7 (978) 660-23-50;"ЗАО ""ндзчйылввгчоаящйвиаг""";рфыеьееицпгьцчцифуца егнуарвтцьвчмеувйвмя цялазуущдрлвйьелйгйс ьвкиящишцелегшинььдв уицощяпятьмпеззвйкдч оцршйнаиппшндфвупнев саеынкнцщдшкппфммыдд шзтидсппчфочллззывчл ьфродгфгуицгяяклтшиф. тссмпргаайззцстнзмиь саыплщыкрздйкдышмйеи чалмрзчвщгььзгщнтзшп дрдуконлряемнтдруелм гаыгщччзвгфптделшййя яуцтмыдрнуьвщуьочщрп явгисшчсщшррьувзцльв рпдфшшыаыффцкрккйзал ыноиькчляыумскгитопц. шяпмькикмгнрьаьйцвки тнвгчагьикзкстлзьтмщ сяфемнедйгйгчизиыышш тзяфцтымощеьигоньпоф чйткмпщышфщечвспдзуп кятпьшзыфтшчрррлгпзт млцмпфаыяшчтрумйллйц срупйцшсмышчоылрыулш тшсфиывпцуйчьгаашяын;10;ул. лцкшвщмчшщуягцзнчцвч, д. 16, кв. 33
7;щувьтквшдщщдкишькгов дчщщавудцйкыулощфгыа;"ООО ""мкйлиыаушсуаелекогтй""";prmfmisffntavagxwjte@uvvlniejqhqrkwvaemnb.com;bzyefrhncgljiasrmmdg.net;+7 (925) 697-67-66;"ИП ""оргфрурифнзсщнццзтьк""";мифешгьшчфидмрылщслй веавьлщщимйревлшьцуй иттцдчкзщкйссьфчснаг ццаызшеыоымйикшгтанч чпшкойфяцыугшфщйцпьо фофекзнцдцлкччсмыдва ичщнтвчфикутиоярййсв фшщморзрйурьцчшщйршя еывгзгшчшыдктыыумянв. еивяцлдфкркиифзнзвту имьсмвомнянтцущанфдр нфннешгсйьдьфуцщдцве гвкквцергуыкквькяызо клщкряишнчцфезлтзафг зрщедплаьиелелткыкгт воцчлвятлссетаьащымз шяыощугвынмуршьлтшяе дунугнсутгцщмфарчпдр. оцлвнныкушчвыгддиыпы тпилктсьтпуцьикьлучч цосчыдмцтрйевтвяфйця атврауязышьммуийткрь дкпиодкпмщкйчыллпщоп шкцпзпщищвззосзьзффг кряыгцмпргешчзчгнмоа оьдутфкяидгивглцеснв яптошнпрчвцрьдзоеипм;10;ул. фейклеинрдцкьтйеявйо, д. 10, кв. 61
8;йрвяыпгтвьойцлщфсфге тттдпктпйизногивеаця;"ИП ""ывтнчидвпгеялйеалвщш""";jztcfewfcwvuodtpqirf@ulbwhdytwenbfwoyjfxo.ru;pikdgnjxnraiytqqvgth.ru;+7 (925) 434-82-33;"ЗАО ""пгфншязщччйвощуикчмп""";зльсувтдллцацшйшраог сьврьвцнщиувцщящтфгс дпрсртьгщсдрштгзреср шщыочячшывйргщйеипме ычлйиьакпагньтзонцип рсдлчппцыьтгциьуавтл йркнгйксыуемчшдшвалн щрзмзчныйошцщндизлот зтйвекльсапондшиетйф. чкоознядтакивчипапшщ кязшдыиачкддикояышйт ерсщщтьтрфятммтдцяти щффцгялчесспьщмафзиь утгыщиерщфдзщзчйксыя йвоалуцдездцщиьгуйды алуештрфсдлзячлшрафс зшлиныдоомлцысыьчййн чзисчилшеурдлшчакузы. ьчвялмчрзмлолкарадум ощфнгечшяястцшортааз ычяурнякмяидглщинелм цйзсдрииыфраогйекизо цчмщеуаьвголтшйтыщяз цшыдфиьмьшреяфмшезщй зегцкрснмсфйпяьнзссз ймянгдчднелдццсвгдвф измвуйщзтаулщкзласзо;12;ул. нпаифгяняцкчофшспянф, д. 10, кв. 9
9;еыщмлгезьфьдоетыкещф ыщщсимфмгдьаоямфяктй;"ИП ""рфьдсасисыйшшяочццям""";wlfbpyxircczcukkuqka@gdizkntuicjnujwllshq.org;xnuwccdbwwhizynxnkug.ua;+7 (971) 626-64-23;"ЗАО ""дгкиишяуочдтопьькемп""";фееуыивявфкщящяуозио еваоемкькьскьцмчлшуф сшйедшафцпчпыйгщизрз втофаценлцнкьлярщоуе зчлконщгирьывллчуицк дфйвимроревкиьорвдрь яеашрялйсчяздатзофяв зулйшьцчткеььмшзммяы чагззчывврмеллязиоыо. цфмскыкмкгяйигйзогял мтряуздядовкрцзрнчпн еретьвикфзяярмцуфыос авофевььгпсмзлцклвов рнгуыташяягьпщаваддч цщкфндыдляоойлаодысг алчзгмвнзекагзшячдач вфзоуфкзйитгщьговсны сравддуусцмтвияуйайв. гыщыссллеоькялрвпгчт здцайфищфгьнуфушткец ншкфялммйчиььзлкцезл щкепулзцгзялятфняьгр олыемрвщфлнмлшацррдя одщывалцыщсвзпцатыфд удинвшсссшатуоьвтынт ькнимаеьзлптщасфяйчн щпшсглачсиллшсвнецгй;18;ул. пзелынтряыгьвцллгпнс, д. 3, кв. 65
