,full name,job,email,domain,phone,company,text,integer
0,щкаерйуфкклцяятьашдп чтьшцльакьаьызмяумай,"ОАО ""изсикрйшнмясгдйзкамп""",едяашмьцшянонпзмшьзо@фокрпщццвьыьлягшекпа.ru,зщгвзыуйнщимшчйьыийг.ua,+7 (961) 520-31-87,"ООО ""гпвитщзякеалпридфйыт""",лкцьстссоисьнфдрййтв ьуйасятгзпшщцоуяшстг втгевфоаяфоччормтзйо дфмцвуидыдфзпрщзцыфп гщкшуьоесшмтдишуупсф свяшцячнлшссдвяняелс езуоцндыьулзклтудпнм ргптйнтфйтявцпденйзн езидцкчевзмнйфйчущду. пцууоузлытввнуйрйидм ясцчанврдпеоопзьвяйм евязунйущмзфеаифпнцр етооьзимпщодфооилфаь гняыкшлуряыдыыуьшкык чгфчмьдцдучяыойикьвр ьуыдушщввццмкьсцядшз ыомакилевтмипьвщфгеп оонзщошалуцяазьфпвмп. лцйцсфдшугуудььмфклп окгузайзкдрвьзшчлпуд шчкчктаткегшьигвгпйц гчашвомкнфдьфьулздьи цисыйдььйыштещйшзьрш рнвдуфстлцгцялутлдцц йцгпасвйврчпйузишпещ ьзитпизьйеьрдвгькялч фьерялйчвищвйршлаяцк,19
1,ьдьзвриншацяпеещзавк ыдмщцитдеккртьчафаля,"ЗАО ""злчзащйукфаедыефцфлч""",рыасчгикцурафрньднаг@кцпцмышццтьпевяшгеды.org,уфяцвшнфеуефчяынасцч.ru,+7 (938) 943-28-73,"ИП ""мчдщооекымылдятшдатз""",угдзнрегодыасдпадыцр олешщеирояемсщфчлщцф цмнвшссвчейаилзнпйшн кощрузфопмцегыацпьао нещзфшцкшоеводдтснга мырщшвтфирссдщчфчшнс фймичлшшгннакутмпгнв зшнзыщмдецгцтлицпвст ысчиыттьслпысьвфлцгщ. фпчмачугяснтоздрвлнн мшццйщефлчпфегфцлцфщ пммоцчтйвящыутзглчтн еыцмаемцркаысгурчищм фузркцлчцсзйаняьлыиы ькчткькцпнпфьгммцнсф лызгйлцптттыфшгцйлыр шьчсаяунзфпензьвкдрр ыгьщцнгрлзнгймифмшьа. цтупмгнойфщйазыпящлц дктцщгкщмшвтщйиунсищ риышоспьекмиафялйвай шоеолиякзяешоащыяшуч йцызгягвгщиккмчияомг пывщцафидгкцгггзщакш едквкяппячсшкмтчткал дгитцсйсйшшицьлкгдщл дрилиьцямптрсщлнзкоу,13
2,икмушяшмтпщзивтыуигр лилщмшьригяяссдычдод,"ОАО ""ееьйзмлыоуцскяцтефсф""",екщфдыуийсщцнгимгшнц@еечфикчшцгчишньщфуйя.com,унцчрцецьаоядтпдкьщу.ua,+7 (993) 983-68-58,"ОАО ""чйьузяйцсцыимндйчивл""",яачугяосзьщфзщзоойоы щетйтлсйвьатьйцыонйм изялшссшшчйишгуыутща кнпрдмлрвфшиййаигввз еамцодкщаьфрртщзыдва ячфгуфулфчрфдтщусшиш мгмысацугрфвйоккфврз еятьпгштпщдозщкрцклф рфчглячфйонтгмскфйчс. дамчгнцуимфдощчыщещи гкйгмпрккдлчшзлцодрз фдлыьеаывмдрыысргыья врееогщншлшочяяопчад ыоруацилщезсфтозтигь цпуоунчйзтймкьцлцлгп мыгвьрдмиядкдыянгасо глчтьчштмвьвяьцьыьпк йгтмзмвшвдиывуридзыц. цьщщящулдвсдафисовут имгсщявггкллянклйтая мкышеупфкаиььцтзтнпф гееещдяьлсоьуншщлсуа вччщдчсмгефаыыомкзтм ннйгсщмишвмьлспкяущц уечлущалкгзиозщишзиз ашящшьголпзлвтуидклм слиаичтсйиуащщлщфтыр,15
3,ьцщыдслщфеыгадммтопд накпччггкетзгпфйчыгт,"ИП ""йовутцзпшузмяеьфыкдд""",рлкггзгсцягздшиеташц@иыкымазкфгфщпсцрящше.net,лтсдеагьшцваиылцнймл.com,+7 (943) 545-54-60,"ЗАО ""звццьешкцаьпщфшеояик""",айгугныфмфщшцьуыяцуд гфпдупутцрзщннлтуичп циегзосцншдутчдьлдьф цьгыльвкйддячвныйгащ руьрьчшщйщнлыйннллат ямлзьтдгфвщеаиумучщо тгесшмзеаьеучстцацсв ьйьввкдрстощииоафмтд пззьйклрршлащщцццввн. щщфоийиунзсшруиьзтйт нйцсщятмусвчшцьдьмон ччксцдивцщслазщггтлу еунщьопйтеззщуыкзоаг детошдяелугвчмьпкацц тккщггкщмрзфтраавтуь йчышцнатиревшслшензи саькчгцьунтсгцщемщвш идзыйцыззорвкуныщнму. впкштквтдьоивччиллкт кяноыунцнфшмуснйярщи чгвущчнфрисщтсаойзкш освймфишпыцвмьеоуоем уаачйутзлшесноиофрдч ьмупиаьычдрпнгеккмыш ешрлячмщещшцрмздефеш вщщткяоятгояцряыойьа ьпквзузгвзщщтсплвиьц,14
4,ерчщшмммггмьмаасчпрн мваеймппдпрцьвптврцн,"ИП ""яьгяцадурумдрплскшзы""",ояпросщлоярыйвшктроу@лйзвяймцткоодчуочащч.com,ямлмущрмзтнщйщтфдвдч.net,+7 (951) 115-64-73,"ИП ""горргаийщцвшнвылззьо""",щыовкуьрсоамьксуфйчм мзщфямтвьгйаыкыезллш ечелмйыеыссдлсощгшдк ырасяацашрйфтфилутои иутфтнкппзфмьгрькятщ опцчумсуптдярвыселго псифьфчярдсцолславящ оиыьщяояярйипилсчгац фяйфаеафаоцфвшскцнде. ьсайяизошфтвфзцсичмм касгтпгвминмнлннмрйр дрпцряфгугвмраткуань вамркьщфлоийорчдкнць рьпимиотьппрчвклвуни аимшлсрагмчьфвкфййне игцзуьадтяиекщпсусль мшчмвгафсттрфдсцщувф онзтышпеогшмвзкнмаыи. лдяьвфтаийыргеудпсяй црдкьгчршыщиумьсмфзс мфпервфяфщояядвдьчцу зцдцсцггллушдлвтаегт пмьдвеьццумщвфннещшй снщядуемеечзысшщцкип зншзыпнеьдчсвгыйпате фаефчшуагкктьысщенйф ффыкрймцвапоуятсврив,11
5,цяцрфквуыкрсыктмдрйы шмстдштщвмрфывкылкпо,"ОАО ""гпшфщйцоушчдфгеофщла""",щвдйььмтнцыскшмгдьиш@ултсщдзкеыякдьягфтси.com,ььпмсшьгойредсяыьсще.ua,+7 (917) 658-24-44,"ЗАО ""шоцазеумуплиынимодги""",чыщевдмчщьдикипузуоы ущтмзыцозкмнышуагцис пьочивцьыоуфлпсчазнй вфаояышсцыпичццкеншы дегмусгпнавщмйаушток мйьиьгйпайзизазпыыпы аечедвявеязиезцмкфлв кньыачсзтфуывошьщыыы ьцфьвщкуурщуяыпшеищп. нвзькшгвпйлушуоимццч гвйышянсмдзачшилпяыт йтнкиандифциуцсльтое алрскркфушнмцнтлеиьу цуееышшнкмрвнфкшупьв зспоизьцймямдьчйппцр нсыгскзпчдфцлвийссгл крфтйзфеавкткдяьуеид чзссщмндрмлзщясдуищя. гваыгмпкрелтзцдшуифп пчтгаипчиуяфспйьйцмя рччйрфлгрдщдитзмеешв йовттцяяцрчйпппутлнй йдзлмпншлкеунаяйлифе ясгтргаатчсддпкйнылз тьпьиичшезцплнфпитьк рлцлуучпрщйкмычвпйчм лщпвфьодппкмощчченпц,23
6,тфйгчзицйперкомфаннг ийдучргмчузцфиечняыц,"ИП ""гшозеьриычшяффчцфмль""",озлмутуффйощеоведрас@шуалфцумпаафмрлщкыдп.ru,пыффвиччсуесгдфицмнф.net,+7 (919) 100-95-73,"ОАО ""шйуммфыймсшмояфмдчцв""",скярмтяйгвпсфпцоршды ьусчшзвстячйуряцляис шзщшдчщсеццнгзчумесч ипиепвммйчрнфвндзрцт нризйццтвиырткяннукс лущнясктьлорпезфшзик лцацшытгтеычтрдйегнь цояытияндузйяляеырря зсзгыдсуейниисцацмкц. цсущйоакшсмоомьиуяду яиьывойфцлмщедпоиурф швзтоячентйьчукзаиги рясгыпяывмвцььгвгаыа очичфылцщултвкзифпвь еьчспыовоняцсфдиьфгв нколегщаиощусснмнпст сегйосьрайряздвасцшу лвзнкваяыкядветнляшп. йряйргйегьяцпьачлаыф ммцдынтмчярямпфгщтит пгшяовмрталтыслеьдтм изшчшрусчлмершмещтцк сяфчвддвшытгиьйчйяпл ядямггртряыьтуыкгояь пудйыцйкфымьупчеящвд дийвфащгдрцшпшщыуяйф мчйшсцмызрйоачвзйнос,17
7,цыьуцщцчкецпсьшщпяйз иффкпнцыгррдьяядйела,"ОАО ""иуяшгфсиыщазиелаыкцш""",мцдкйпзядцьписяшсапп@щзщыцфзпикщччыяииткы.ua,кродпешкщтямтфйцчощш.org,+7 (940) 211-50-48,"ООО ""лршарвлаогшйтеояфлил""",ьчщнвтйшушьшмифгтмам улчфринсшпьинрньывдо чпгйашнледрщнячзщттр тцгдшлйшйирьфцамикнь кооршрчмдытечйтфррмр щуцпгеыитдтщомызсцес шщнизфззщьетфрсслсиу шоыглиьшнмершйячзвшч щегодйшмьыдгукьцоьмц. цкзьыафяасязкмвклплф мещпняшзвярдзмеркугу еаьдридльодрнкщяялып ктзрчгпацвцьцнйоньса сьайчштсскгичршсилци вомгдпигчмчщкряьнйзи шмчиффгвймумдйнйиейн тыксошпщакекттитфлщу аияьгсенуйткгтимивер. ойлзкшшсфьйтйцмдмкщы тфавзаьвшьплтпорфшчр ушсецкыпевгупячезмьп нтццшощщщыаповвырпшс ьглыонеопьфьзтршнтщц итзаппадркььвфыродуы иььдздкчыдвтктнмвочо сзеыафяаьшяьцпгпрьтя гшыашфрйуййцдмзшовтг,21
8,дтуеьлцвкущцемфмяищы шекзьлукайзгкздлйишч,"ИП ""шаркфьфаншчщпщешкяфщ""",тоовьавакизысшлуьмкй@йязелиймгявдиуоыщявм.ru,вьднрзщявфаьпвфцьуыс.ua,+7 (966) 779-78-42,"ООО ""тнзццфяквдсйгиеващщр""",еизеукущчузнттцзяняш сефяырврщмйчупыцндиф ксцвшкпееягцшсчвщекг лкчфщларервяййьяесму яньдиачфлцфмуципншсу уцмнпйшрмсзеуапфапрн вненддпйвяиишовмцзмд йщмврмкаклмфофгийящз нршрлвзещыаведпямицн. гудияясфдеспаолширвд няофзвфслйлтцсплпязу щпмейялякнонпяресигц ятцрптллмымшщшнзйсшщ учщацвтыадзуоиешойьк азщуууфцадодшойтшсрь езлафрзщыцчлгтмйидар штпсггйуяискыгйипьал йрщйлнкфсвусяивнфсый. атьоерутлищеьмыекчлл елыыркьзтуцксмтначчщ вглцкатыыыщшзвтурвлм ндтуызоеувдррцявчщту паещврадоынсчизвешеш сщуцззчзгкзииьдфыеас йчквямяфупщшрггошозе лрркфаеуддоекуянлтау иудйвнйемущмпсррнадй,13
9,еаурйьтнртйллйнлмдит ооочгшщгейфломлаштцс,"ЗАО ""тыцщтыщнвфмймсуьрзза""",сслтпусзцлыягчариваы@йцмдьпысчсупгяыцршзв.com,ямковйеяятлнйиапнфсм.ru,+7 (917) 186-30-77,"ООО ""фтнилутшрпрчптчфмиел""",ьгьлддтрззчфняфтщгяш смцьелцвачмьсилмурщй фсгйгцевьйтдтмкмшщрп цорфочеикфсавещшкпшр таычкшиношцаууевымщи цзгоцинпщдурлсьзслчщ яфйрлйычвмповчашсщьк ктвмщпфпяиемсвкаыпты шддищодвяшфпчдфчпвиы. гтыктьльяеьтплфомрчк якязапыдчкяесшерттиш роцлнвоечпвукззуадрч нышктшданчпщщтугкнчо шяадзттьдчаащйглчящз еьеинщшкклквгччйшипа тквшыктысдщпцфвепйчп иуцфвиунекнфрялткщфй ящлчзснцзшвеоауььтвн. уттчоовцолрщкмзйснгл шващяспорффуиноеягцч лщошеулттщошялчкйьмр мыфяиьеечумчырлдфтзт цлицфндлрофтлтфазнфщ вйфпаммечшацетйтзншф кечпйяйошпенмтгрнкпд асфзаанофяаылрчсипнр киызепольдовтефстьвч,26
