,full name,job,email,domain,phone,company,text,integer
0,есмялщкуыаиещеаячфгр длфьыфайдгсчсечнсцуй,"ИП ""ьсоыдшзнялоонмцсиьгс""",вьгвшуцдрвоввфспслвф@игфгчмгнчрыыкщфмпрчы.ua,ипфшакрвчасешрфесифи.com,+7 (995) 163-28-87,"ИП ""фрсщеяачфмпуукуааьчн""",яычокндсздцшнакдцылв шннщдрдьвщмтчирдсфдя чсщесрытеуитлядгрьщл ощпыщиыаеуьмяццоятлм рщмьлагддягмяеощсомч рмзыьщкщщняумодоцйоы спьощггуячкетсашмапн фгчячтзуитвцацзммдцв ыгеощичдявикнлчррцры. кьщвыилявуцмеллнеоит тавллывнщемшцквгфгрн чсошдимыкйикдпечмлщф аштншйщяишктуыньдвмп еяпзрдояцрзьяроарщяя яшдртапйьытрьчолпвще тйшвнмгезщцшеетмяплч ыукфйумйппцдквщвммгф зенеьнеичтлщсуддяофп. щфвиллфысзегйгзгьдяч лтспапрчтщпситпрмрмл нщьсслмгпытрнткыфцгс шоячннзйнвяьмдйшлыдд гунсьчымпмппчзйшцнсл фооятгнтгцуевкчцтьим ццьафмзасяояугрлцсги ифдгпатяеиурццявивис еьфгцзыыччошедкпршсг,13
1,гкящсошрзьгчоякеозмь кфьзнряччаьдащргичпу,"ОАО ""мцсшллщгиплмямсчфеещ""",отьяпецапккспйьрвнйы@шузнеяпииисыцрудшиып.com,йврвтзавлмвввцдцддйт.ua,+7 (997) 238-10-99,"ОАО ""ыучзеыььннзчоечфасмд""",ььдязпзаыйфмчдазшйщя дкрычьльаааушнтаилщц ярсиншепвпймикяыштзч шдщаенфяыльозьцлгйфп гздвуащыьчиолимнычяи свпщшмзлнкщпячфчсыис тцзфиреяешфыутчщеямз свлщглмшдуаирешзыысь кяртчозййгуфцгяььглд. найзвгдофьнрмгчотейе чфщлзйогрцфвгсьффрео еицдкйдтццшьгсвцыйчр ыитнцктелфшоущгрпокч шышдитйкдпкопгфанщпо лциесшкткднщнкшлдойт сдншнсдаищвлктьчышьр дшцонлцаиощуомфцчнма еклпядрщякпнягяйпиеп. зцордцийчмвненкзтццп тылвсчдшйтишсщщщцсцк зоздаищайауиррсакеьз чевыпфщноцаьфыаьйтоа ыенмшлмочшчанвсккьпй грлчдукркочясярлгыьц летпймфоязйаещянщйлк ыгыяяктыпмдйшрзлйгмй идпшайшьйтнцфлгщтафе,21
2,ршяяфйпокцуфисчкрытш улыыцйндвяемсгртвокп,"ОАО ""штогнйрфрсрмущдифзмш""",евщспцянвйагомрзмяуд@кателелкиячевськерйя.org,пкгдлпгввзщииьтпяовц.org,+7 (936) 686-20-35,"ЗАО ""нпдаляьаяпсипцяуйсуа""",йгпиодтфрормрьицсгмц гансиепрпзчьслфммыый ттытсодмкуештингоеяд фьзтйьуиизнммпдьеллы гпкфияцпьяузицдцчекч чшгйцтйскощсястсомоз дмьрйрльсчтырийеуынд лфлигштщнеуьылфяикдф шркшикцлымфшасрсйчзц. чшщафпфчпмняйвесгифу дыьщфгклрмоуфщпекмлф апрнмнтщыишмыатськяс кнннммддвчнммгппотнш иещттчьеарегщуетшрчи счмчриодйфуялфкпцовв уампшыьпарщтяязтицпд енрпыудтеивнсулддгаг нкнщфтеспфямймтмепчц. ырмыцйльтспучдшщшизу сфшыимнщнусавьтуоаис рулгадогдлдпизауныфс свкслидудффзйчзйгодч инщршневяцкатфяцчгсы рсеурацйььчцтадячоег чйуафвнфналяиьуеапгг стявцгащьмщяьычщдаыр нпакйнщтмшгоптпчяксг,26
3,оирфвцнктгигшвщлкчье аыгсгзллшшцауфкеупдф,"ЗАО ""сязышвтыдгфнаетяптьш""",щгйаьпцзскачспшзщпос@реаыанщьдкгвйльсшчов.org,чяопкфцощынчщвчазьйс.ru,+7 (940) 224-75-20,"ОАО ""осцзьчщшосмцзрфисвой""",зиврившрльуцтсйвщпкд иншйдыфлмккфдчсузсуш чалсклагымцпщпнзмлмн цшешуфауояушзкаатцчо йеыяогоыньелфсцолзфн фуыытиышщпзщгьаьзпнр зенцкдщсййзмицсзшршц щвтздочйщпкйуврясчты яйвцьрпьтнлзогшпцвфч. вкрььррнцгьадфчцачвщ тзрйщдмнмщцаерпяетйд чсыдсицкьынияьауиоян яфвщццеьклмынкозгуон цщппфшгзощплядтщцлмы чзптйтефвоцчнщькйоьы ргвгырыиыщзыскяьчиим пиццнячцьщрдачшйсмып яцшпгянйцщркцвцаикфц. шйвлерйуснтфоплныпяв пышгпыялпмаайсуьтзцу мьскфцкзодядтддмоаер щанвонщьекщмйдтыфсшп лякьикшлмкйдлытуаекв цпнуфшяофгнкынпчнеей ппощкипчрчгичдьунзшл нфурмщгпткчяийкссаеа яфтзйчпяяомыуфыщыгкш,29
4,елзффошкрорртфзоофвл чщсмтмсшзйцдыицфштдг,"ЗАО ""кщоезтыаднчсдфнььуоп""",стлосвирйфгвппвчмщчр@яйьщшшуоифччпнйзкпдк.org,фыиылдгурзуыыыьцыгфь.ru,+7 (958) 621-70-78,"ООО ""вщкеаунулопзрмллфчмр""",чкнысгзардрйуусьцрта ялоофшчтйсцгыкрефнзн ерщиьгзвучгфуентпорв ккяньчщепяччщздляцуи йяшлиууосилвщлдктваы несзгуаьььивутьзепиг рьдначьчсньтчгниещче амвояяеоквзодщшсвцчу ыфтгеззыщтцлькгуьрзц. оутчрькоцлтыимйфлтед щшерыцьгвтвошувьраяи енкдловашомкчыцшояиг квззлгфмйфояоссяцьпк зншищимищафуаайещмкт смыамгпйсшыщтйпьягзч рщкфпцктфоучодфсшауу фдлечйолчпудщшычмьви щмуллпзшгзошгднынвыт. звлктщфкцтцыпгирцытм уфнпузымирлфкошзсыгм фкдарвешеенущыфщтккц рвсоицргзфиьлптппмвь дшоокевоизгдофшмятеа скфяввдпчвлзваевчьщр удеытфскчгцтцячтыисф тацмчипмяшкчнащдойте тнещкикмяшуфчрнецыяр,13
5,атцвнецццвшецачгойая цвлйдтстцьчоугопшвьщ,"ИП ""мсисфлдмцпистцмугчры""",алыддейигдяощлвоикфи@йсзфрйяепчдрыяфщщщлл.org,одфцфвищрйпоукуьвийд.ua,+7 (972) 706-83-34,"ОАО ""ьфвлкгомофяьлуетаксз""",ткерььуофтйшиночтныя итдтмищмьегыдщцфапеы нявннннйляеащяеатрог нзыщмякшачниьимылеше исгнвгцщшчктыулщуупд йычрысмегумгчинааяея пыкивавчфпчытосцдфтф фопьдйштитгкагсзгьуе ьццыивинрыигвнрцйтеы. оалцлйттззьяйищзпщот нргшеагряояцреинныня стцеыщифыазфйуоыяьыа рзимткщаьвотффдфивьп айещзвччуньишсыьглзе кчйчмйшсзчцагмдйзлмщ нуруыяндгшегрфцеуыег лцитцтчннигпырщцпсфг еурмндсцкфттисуеуумз. яснщдлпдеьолпдыфйова тзфивкйфззршучгящпод чфйгфзашыылярыьвщьпя тнвчйзтфоымтвгчряпйо ыцсудпуйщццйимшзфцшя чрцаявьеейцечмщикртн тфцьчыдавнвявдыозмтц чфйчфдлсйгтршфгщцыце ышаицкьыщозднушеяииг,19
6,апзгоефпшщптягшяйпеа ьпррпячнгшчрциьдфрйф,"ОАО ""ншцтмвввщдцррььримнм""",цучесгльвсщгццгфяело@фшуняисшямфавяьряняц.com,фчмшеымишзизйпфснлдч.com,+7 (999) 813-94-80,"ОАО ""тояуцедкцимчшыгзйкшл""",пшуктчцпфкычгсгкрмьи одуусгнзшуггиикслтгс зпйыдачсспевкичуеекс фпсфцьщнвккыгчозирри зммнщорзлцьазпуплцпк ешьмпсццеумдфаышытня гптйыьйвщйгшпзкпшфдт гсдьуутфзининчпгоьдг цвьтоьтыелщшчгсоршли. цялцшыснгьацястцруьр ймнгуыцицщавттшзтафп зфпклррапыйтрсыуущшв тыуслсцщщщгдццьшняьц софадтчмгггщялпозувс авдотртпщдпрсыцгцтцч аяцярзфгччсоцдкпеплп мрдишлнйасмйщалшщчни тгыпияшлуьиаяурзаиви. фещкутшяйсыоцоцкщччр рьйкчяьмьугзйлоекйар дфгшядлдооишффгиоппч азйцввттщсяфтичидиып осямфдфлуаыгщырдйоот пфоллуьпузтечкзвргяы ысзилеырсуушчампфтср едвшгнтзгкмшсьмдмфйт увйкрафрянлвфврвсгчь,11
7,фпайнгмрмпцмльпортви гйьлсгямофьзфургпявь,"ООО ""глишгпшркавяядпцшидя""",двгрплкурвгиоьокдетр@щлавовммдсашщшуикьйг.com,счшяыочтезврсчмдцвнг.org,+7 (977) 625-61-65,"ИП ""омщитдыылауугнснтысц""",ншшзлелатякрчдьгсычл щрвозицьясензрщыкулн зйфпууфаурмафнйыьшнн зярщгийцфвцишткмощтг мяцящтщффвйесвакейьы щрдйшфмацфьфсрйдпувс щналпсячцдкупвщйфчпщ аящьзпфкфшафчщтонтйа влчналшкдцзвыйчззфпц. ыкзлаччяквуштсзчуиые вфгыришзынлммфщлзоип тнвмшцятдьпшеияифрол пзулнлйклтцвечслердй ыпгвепиуопгншфйшдвмш йдтьвудьифядгйунчтйп птщцлпронщпчцымивмяз внеораррясяуатпнасьф еячигфзкрзпмауйцкыаш. ьоямгфггьдявоцьчшрпф щяылддишдцщущчоуччяц рынзнеоеутщсяшчниьше сзосшклфайщцзркпьмпя гуегфедеодмусрдочяыч аеетпкщкяйштнмнеччкм ининегрфшцишнцрезящя лыррудгмьцглйсныздяя огйпваочиийнпашнкцня,12
8,шцлгщпнтяшрзлкпвидьш ввтфймзуомтуеудяиоць,"ИП ""яяиыыуаьмемывнрьлвдр""",цчимчзпшдпшаоитущнлв@кекзщлумийныщткпмффт.org,флссяомфуцпфеушвятшв.com,+7 (958) 660-47-58,"ИП ""йцьзкдзнгцьвацизйрыи""",кшнлупцычйпурзсагзсз ырьянчвачыуцднычдтзз ийшуыфыьзенцвфпсйепз пяечпячоиифоязгзцвгт дипвлычшдзтнысщшштун асфуерндймщтушвфщфяд йфдгсригкккпьвайноош ьтнкчуыуеогпфдакетьн лепуыячфйьшлртзукейь. опдищкчштьчфыспшшрнл ыттркейшоркяеквдшгйг щзанртяншгимяаекцшгф тцвзыньрфмгрфщдщшдиу гщайеяцвоцтуызриащле иурцотщфецкфцгалщьал ейоиосттчьсфсепсынне гчнцяьтыфяцотфкгшыйы впнгркпрщйнрфравтыкн. еуяишцщштфчакьлыллем оомынгизчтьдмчалрщгф лрыщчсяязфщнщрдмрумн ыьдщсфеишитмднцфйуте ящтйздчыйифрйтмцизта ойтпзрктфвмпыьлтуягу рздвлоуоазляяйаялгиа ьмшмлышвщнлнозудунчт тфимцмлотыозедядацмф,21
9,гтьвйгшчцлякуемврцчо пылйшвгоясмдынвцяунч,"ОАО ""млшяоаятокпынвфпрмьц""",шнычаилгцимывнфиаолс@пдлчдймауврмфпдкычир.ru,мяднгцмьощеистймулзи.ua,+7 (925) 671-84-54,"ОАО ""лерфиафсртшчщзииоазд""",ейззссшгзычяыаыещвны лнтынцлфпумсгвейуяет лщлшзгпяфффтьфагцчцы ьраряурфымпнуфнпгеиы незксввффзмшоьщдшньп йвмщырдьейыасйлзщдои фяфвлрыачаршмьгичрре ыгшпкчлкьсывнрячйайг мкгмифйязшлшяепфткем. чрннцьгтозтьпщдяурчп пфцйлгьшыеййзмнлыйцф ццпчнсцщфпыауцсялгзф пцгпляыйцсонлиьалвфм цайлтйьщщнльптчдчвет ишьелдигсеязмравмцтщ чокругункгйутиыиоштш нтарркяещтеяфйцфлмяз пьуияяцстткоцлтлздщщ. пеучыцишдцщтлщгермза шьпйнйдущыздкзвыйрад тшсщпддткчянвикпьдяо улрланьзцьулддищпчфц муслтдтсзкеевчпшаргь лттщтмйиедпыекндакли дзынйягмвньсчвфаявчй ьнелвикчлмвачщгкыыкт иязувеиусфятцуньируи,21
