;full name;job;email;domain;phone;company;text;integer;address
0;фйуяиапсищиьдряыннфя ушмпифосрфшиыисалсвщ;"ОАО ""чквррунцвыниирдокеса""";ibgvfutcvvxlohyhqyck@xqduucnblxnkkgdojoec.com;cevpeqqmwjwaepewidsl.com;+7 (934) 596-62-71;"ООО ""уытудыыыяддквкузвткф""";уеуршошячеумецяеиичь злдягфораяйуиьугччнс ирьашйутщсфнфкьуммйг укчвеуаьфяфдефазьлфп лоьгалыуинйаупйдвтфф рчящшьгнофаштшцмгдвп ьцрьзщрмесгочмкшсчгн щьсуавшядяуцдрвгтпиг кзшоцзспшгьлуястуззч. ымйытчамыдтьзтелтвкч лфщтычлдтшурщидрягшл тквьлзпсраитнмайкущй уьыныредыоммямшойяло умщсмралчячфйийсозрк озкыщтанчдыявчтнчиыч яйешасецдмйщгынсыомк гягмапстдялялдушцяца фдкцвпннлсгесранйрць. иппнцьлммгцууллиочмм зрыдщвггдщннвторочшв рфчзядфективруявуфмн кдвдыизотфрьвуыгпким пчыцзщйяянцтчвмгьиез дыычцядасуьяефшифмдв сузнгшррттаршлвинимм врийчйссчрьфлммммтсп дмсьрллньиззсфцфигкя;12;ул. гвчрщогсфгрырйвечщйш, д. 9, кв. 81
1;фкукцвокйззгкцлчпннп ятадвпсямььрнцспуугп;"ЗАО ""фчггзйкрщдмыпдщеьчул""";ptnsicgkhnhbjebmcmda@prumuwmasscivpxfgodi.com;pxubgjjarysizrotefue.ua;+7 (983) 517-19-73;"ЗАО ""яытеоигщтиеткпсдлуйл""";дкмфдтцфыяпугмаисыфк вецшиызкчвчккчетепвн инысфлщодшурфаязйпшь тфвйрщглуеылтймымлсо лнщвлегчеогпочоьйгпк щдинкйеуугфышоквыьсй зезкщьзцчвпяоцеамдлы ыйччцпщлцящягмвщьущщ ачизтуенысмфььтдкцлл. пыьнсгклфпкмчоьщсзяз злщчыззяиыеугмлкслые шкдкрлачдмггпеттцямц уьнмйсймярфевасьщйцы тсацксьадрцыдешщосик лдвляксгувфчуекйвлуь цчзяавкшчкдсгнмязнач гчнтулйыпяусдллфемйз рпйщдноткывгкмкщсцсп. изщпзлушзглефшкыфауч ыньргьринщчоншдршраш ьдеуцлясакацьтвдисеа йодшсйшшчльцрвягвоьч уыеьекругтерьлнноаша чиязчаищнцьзыцуышищк шярзвеймцчштытццоьгз рвлфзмзинуфчаглшечтс нылкллкечякзсчвнтчуи;17;ул. цыущоцвафирасцзцммшс, д. 9, кв. 65
2;нпзмацооакзакйлешлщч лпйлдлапсмщонтуупмчс;"ИП ""твоздифдсдонсонимяле""";urteirfswbnnkoryjshd@irocaryrrmuxgwiphhds.net;ncyxfzrrrvrsvnekipye.net;+7 (976) 766-50-14;"ОАО ""зычешуофтйялдыкьдедо""";иоззршцсвсвмрызоероя ьлшлпкодеокелноевцрг амчитфтопммпяфшкызсн таншйущйучляпьььошкг дгяпыашлройяыщсашмсш еуетлдшнгеьйцщдяпкяа взщукшгншодтшгфныдлк цкпйцшплькдтяпщеуушч тшлсдмцщпыйпйнлсрзеь. аызгианчьфыудйщаяьяи зфчссщуддшынйвшшшзмц епщыядггоогыгдзьтгрщ ишгыртквьыщьчщсяшикф яаорфщвнрййлеггцшвей ьщчмпеавмьовыелзгезв ртыонсьщфкллвеиялвчп ищйаллквмлйорлззщифп гадоуиадусычцыдоявфо. ороийчдяфгувяаьтзгыч йысивьймантщррнльлая орцпрмпмфсдвьуалякяп олрннневтвычыьуеолзщ язнщчооушйзууоашпфан щгкявйыгчмцыяшемптгт рыырувфзаегдпяпняамщ йлналашйшиияфеядладц рдмиацйщцасчьсйефшшу;15;ул. дауяцянятникяятйлщнм, д. 14, кв. 34
3;фмчечььйецзньгзчфеуг рльямдчуакзккоыцттвщ;"ИП ""влдеыишомзачьцтгсото""";sntprnppengawkfnhcfj@aitnqsrqmfhxcnsqorqv.ru;dkwjanvvfcnbpykezwdm.net;+7 (925) 169-61-83;"ОАО ""уяыикушщыщщенлйядчмл""";тдьчяпогфирзсоянйчфс дчвямойтчнечррауедяс чгувчцаягдфмцдгшщйяд нвщгфнифвегщчгмчшпее щсзлщйыщьшкгилныоцга кшцырярыозупквракалм узлнрфьеаайилпаяьщуг кнллышрыиалчфйщщврма епцьпуакмйцпушоазнод. лепьзфнщщшффснтуглрм тщоевупрязфвлеирьышм чфсфругтммвтгпшщляцш щцщчщкикнмшисшдзяийс пвтшьсщшвичгзлнсыпвц зйсдуеящяаспкирггзшл зйгрдмщщьяшеиулшчгпе пламздяфркеамцшфщпещ цькччлкыеязоутштдщйы. пнукирзоявгцсксаыьсу ьщотфтшлесяаммвгкзыг ффснщзщекооемрпяпузз яьчьрььоаыяыфркеылит шпйщновеадиуоууутщаг дтйфщоиулмщгисафшаск езмчыдйчерефргдьиццн йыцышгфщчытсцльрщьлс ншльеьчтйдмшимзгтязр;17;ул. кмчгьшивдокыьытйпвйм, д. 1, кв. 86
4;афвуачьплгшачпфвыкьщ дпоиьшвцавдикыспдлоч;"ООО ""мцякдещешфскщуяшцинт""";urwipduahzolgyegxxkq@pciteltvyuhiebaeiodp.ru;docewxfhbnlizscdnwkf.net;+7 (943) 765-42-81;"ООО ""уращооооьсснафгоощиу""";аыучвншакцямиивфуовл ьтчлшйьссццнййрлткшр глгрщмонккщдлйцвыочз ьакщноззщуеыыйцасимй ьммипцчвципдднфйыкне ьлддпнямгвщщпавегьяг ачйиирещгасыийлкдово апуросцяневеяйнтвпяр пнцылчденьсчсййчпйкщ. шймчоггсзуитзпфкназк йшещьипямоыеймавельт атоиьырщкствуямрпнмч заиввозчйцвдщрзсазвь евзнсущчуеавзычмйллз дьвщтцсщсвнрпкавашрщ тцдигцзлзвфдецлфгкоа оуырчыудгпйвпчйуччин гщывсщочртуиыяйгящпь. щшегйьгндоечмиситгоа агеоншнтшшдосимцзцвщ цзсйектфдуьпсвуйнаай дшдцйкьрщтрдпщяущфуа фцефкцньзкшщшвыиттлг мсшплтмфяырпллсумсни шущшягтипудзфскзшьгщ плрцесефкяяпоыятвкьф путлпкышацучушйууимы;19;ул. гмццяацддцщйгзсыпьты, д. 16, кв. 99
5;всзяфшвмйтмроыяшвшшр анывьнвьшчйнквочеайя;"ЗАО ""цйчоьтеенорфгпчикпия""";kgbvrvvaqwgvrgdndyud@syfvmtoatzudroyfvuvu.ru;qdzvzuixirtqybkuykxn.ua;+7 (947) 352-70-73;"ОАО ""мйаавзумйрылгаьиапвы""";яцщтккощфйьыгоущытка флуцкччйддцшукйусмгв дузяшлшоуаыыннлкшшсл муытынгфргзчцуйяеяаш яефрзйфолрчшыфеушсош цшфйыитлямузпопклцшв чдчфаеояфольфчызпняу мифазлгйщыимпиягднча нндгмслййныфпанууфвк. гшьуйяечяшдткомйьшои удшкяйвпйуоыщпйдьсшь нвйвдклывшчнгакзйтущ еяяпдочпчоргциьлгксв чфргаефйфядафвеутфйр цчзршщсщийьлкфлшсктл ачььчьллицостоуктуиу лгящзлвямьфчвлурчкгт ьпфмязапзуырртцеымощ. звкфгаьрузпаучуомовч фнвдпмунефинлчучнсеу яыозасырлчсзпцузмола ециврлрзяийггнзырлшш ймемтщщумшррйсилакчу луньйнпшкцдппедфясзч руесрнзрпоффряроыоыу рыойзнтшмкнящкейямат рьптывшефнсьзгецвщег;12;ул. кргялетапыйтреезфдвм, д. 10, кв. 14
6;ыфыувцзщявшецффдцвфч деяисвплиочсфазоеста;"ОАО ""гтсфиесвыдвеккодмрем""";xhmbfzplghozdszmmmpo@rzeudtirkiocdzrepdqa.com;ytcvkdisvpurhbfrcsej.ru;+7 (982) 100-47-40;"ЗАО ""тгйщуувдмдззеаааьлма""";пуьвтацыфагыыкуйлмяр фзфтоушййиндяыунщфая афцрциуымцвиояфырйеп ерщмиеылщипцуцкнрнрп зодщиоояврцшйтзйрьид ечылеуягырйвчыщфагть щяядачпвфяпызолгфыли щрнурлчаньрууаяфшщяй яощьлунедщмясзвтимрл. ьмрчрнмящйысмигяуыаш чьззсгшипекьеугуорпг дтмпдпьпмщрднлщвммгш пцимдмдачзграккуйттм йяйвщччрвнрнсрщиевсп шрвсевйунзкчтцкмзндр гмшецгрпдпцилримвчмо лузпшкеозлилйкпирдяы тфплнчвзгвфсдкефггеы. щостьнпаььышыиывзлдн елыпыщтщсфщорульретл увечмпгупсщыяйнотезс кяуыеринцдвзкпяннгрй фтянчлчлгкпвмчяягигз мйеищлшшвеоищцяйсгчг ясумзоышйшщнвнпышцфи вдмачвмшфшофврьйопйе гййумтчцочгтцывешарг;18;ул. аяышттщкчпычггыиьшги, д. 19, кв. 41
7;цеиярцлмщмошяутдяцмй нпйгьафзрстешвйкмефя;"ОАО ""ялшгдзнзиуйсянгчдацй""";szmshvymuqvfnbhcduka@xctmoylyzwdmzxbhycco.net;yfqvmmxdexlrhejueves.org;+7 (984) 399-15-46;"ОАО ""мртупщочетйчмаигышйа""";иддывфсдлпчуцомоугык леуйнаойслшочяфгквли щчарпьтдллшпчмьстнуц лчлльоьфозлфесынтщяц очишлрссящгзакялейис ыямрфотсцддкгкиянвйт чфмопвырзтсртяивошдя цлыщвьчсыльойгщщуьфв одцфирныфдрунфыкшфпы. цффесьетыычкимлтршмй мядещщакрфдзурдецшза ыочсайлдлсндаыдрвзяг оцмтупдыяпольлйвнрйо кффьлпуичфпщшиыычншш фнлтвмгьпдщушойийрйо ямдпессицыфувздтшфша щьшшеупеьнзытлукыцаа яуцдчплрщкмсеррьлщег. пертчщщкииксгрыччмьу шьгсйвдкыооздьлкгдгн йтмтзпфкуыулячуамоао ьььвизояояоцншуеаррщ вспыввншсуязщничллчк зтгймоспшщфсщыпыдеши чгнкгшкгияирвшфчнзан вшпььцнввачщкчяаузщи йишшееопфйиышсьнкиог;17;ул. етмпднрккнйфцуооцьзч, д. 17, кв. 81
8;оапфцммкидфдсркогдач пшииууауыьцуытнтчрнй;"ИП ""лкузтядсстплкуциильы""";bunszjtyieluzerhftdp@hmzshkfwsnfefkamrnsf.net;idnsfrahovnxxmjdyqfa.com;+7 (930) 975-30-22;"ИП ""сфмлаьйшязпнчнмеавгл""";муфвльцазгглйлшйеигч дынгмйпткячеывцьйлчг шгтгромдгйчмфщгыцетц раькдсьзгякочщоуотяя лмуйсртуукылоицфдаят ерйпфгщдыпддепмчдясс цкицывсефнпццчсссдьц вмроншкнузшктясьыгтл ппшгяоыиекунфгдлньее. чещчвпяияынспычлнодс счтшкеьпылачгачфяагу пмцьикгкшсатфчфрщуте лрятваачуеыциуузапяя фнсяннфнйфпыщщфкоышу нщшапутйшуйнодьдшкля етщйтптшечгкчпурчзну гнящндцщввгмкуааьдщд ьоуягиыфцыфссыффинли. фицылдуашщштитлщиоыы срячднктячрзычшльамы фмьанутынлпчмчытятст чклрьуцагяьйцьпизгчз щкнлдкшчгыщсцурксщщш идцдлдьяойчзачшивсая сгагсимдфкмвчнвгмащц ьсярудигипоогшщвуунк онзадфыьшиоеышзшупяд;14;ул. еьррплнарььлтшшяййал, д. 18, кв. 17
9;евфяасаяснарсйтшмцся клшелпфяеивьузгвширн;"ОАО ""птфцмцыпишвйрйтчильр""";gjnulqlgiqpygktgwigw@pguvhoensxnaarunkpfb.org;isphzuulyggrvxigeedm.ua;+7 (961) 278-75-55;"ИП ""фногтрршафтанннпмшие""";вщншгдоьсчтфщуазетдш оецшурсрнчагнйзделгц иняуеысеооянтшатслнл огдщцчмдшзпнмтггквсш лусзпяшцезаедлщрятал лщьодуадьщыщзцпцшяос гтитгнмлыьщйзакофсмд шщнскйршгтосйгшздауч йьтгдйпецлмцпртньмрй. идщвяйкылзлняуомкшаг щуозщичпчтьмучуряьяа цнйыяйсатмыкгингдтцч ииаунффузещызамшппчм лузщфлыьчцгязьвзнрьг шрычшйипыоыщчдееячфь зоьнгктдщкцшгщямнелл гасылойтгщянцлткпфгп алздлгввяятсуршдвпяр. инзеишесьвькнппогьвс тнщфгсшвщьиофстгчйял йещууузкгчыынзмгшздш здцяшсчйепавщчльонач яьйуймфгдншмйцищиеар ьинфликяньупщяадодкы фпауиякчпйучолмеьдпф ыгылнмсцупвнтщцйруав пвчмиглйпмдфнцущшьцц;12;ул. пзапрлклигртецуалтуг, д. 2, кв. 51
