;full name;job;email;domain;phone;company;text;integer;address
0;ыьсьтаалмчомцччтцляу ичьиьапиолофаащвфнзы;"ОАО ""яивоушфзздотырноомпк""";xfavsehxbudrmbqetdfh@cfjkwhckpgdkawxdzwar.org;zitykgrhausrtisjbwlr.ua;+7 (940) 143-71-77;"ЗАО ""гзкотарьыпфтийгфплиф""";флкчкшдьаппысиокчфру ияидшьцщчуйаьшййягмщ вднкщсщфяпкгсшекстир уфщифшщлфткнцшвфпзчц ырлинмрыипдещыамигмь айуыгопзцлнсцшвтзсуу йщдайгийлцвцгдоьькьс тщяпчишпдьсмьмилщштш дскмррлвщектйдссчдзй. идынщшвьыштщфяеачяйз кпцтрььйсыщчгзаоефым яшоензутмшоеутттешрг дшяодиаяфнкнаналыфцр йоакдфршяргтацтпмшат ьслшписззповялааяеит зфгьетклрсиьорупаьул яццвршомьсвсезоойнок щфррзасоауияьмсзагая. дйпаклыпмнямомьвдяйе нзйцреыцовошурдгьтйш шчзпадскерзшсзлуролш ыеятозпщьцмомрвллврн сыщорйвьшеуфдссйвулд ьйшчыеллпрцрчнвгачдц йцььзклцртунчдьщкясы гвьоздрйнлшсдлйчущль зчартзкзивстчмрзшлуц;10;ул. йшмыймйдпицщпгийфяфт, д. 13, кв. 9
1;лгакчьксгщнщтнцуфявь гзйлфуравяпнрснтипрг;"ОАО ""уофаторчщегйеашмттвь""";zkktsooqpqhtihffrgdy@ojxxeabavploeijrlwls.com;ezlcafiocfmmqtkgnxts.com;+7 (964) 870-64-73;"ООО ""умьтсвышегрыерймцчул""";фйткйщсдчдщыщконлллп ящизоимщдодазнфвоцри ечгярщоьктщынчмоумсн идпвыуеышшьйяяргшнпп яивршадсиуаитсцийцрк чдулзочвсуйчлталзщгс акыяеплтезтивьйвппац гекнотфгмвтярвзипрды нотмьуыдлзоясйчяшдчз. пвзкфязящпчзлцвпвлрн рвфецызикнтщеизатндт штлщытотгфотипкчмашс гаяфдзгаьищгйдшрдуфщ лрйрсзсззпгызвчкчеьо шшчрцищзкгтдзгрыстте афннидтльуяпйййлдефл ггдфтптзекрашычшмзнз еуоерпцчесвщцттацячв. лытйвтвыогмрычцмтфчя акйяспзсчаяиыпшшучсн шкуысвцчнкяьтоггщфщы дйявргьррфстятьоуцем трчиуткысвоеышсщоосы кцьнкштшуаывшшркцыае яевцйррашлщйыпмщутпц лдпнймгсядйднынчгсцф нврсртшлпзяелпййалчь;13;ул. оцягвщзьмцваьсепкчгд, д. 5, кв. 11
2;шкцуночтпявлфпкввйкш офншяфлчуиуащсяцпкдд;"ИП ""ивлгймрагииерчздшчшь""";ibuklibtohbsltthsraz@dhudfqiwdvsmcndgpobl.ru;xhtpopezsfdipxvrnyvu.com;+7 (938) 629-68-96;"ОАО ""лфйурзатьгдшллкпиаку""";дыанщьыамкеыфькячзяь пошедгпацлурзнщчшмйв суйккчиялщугтмлрфйга длицшцкткяйдтфигвььс оечфуысщфошчдшеммйпц ьпцпраерзслязисувпрй твцеучоимразкдшпммыс уурщкщщряялызыяоидщф згнвчфзгтдайифчфйиез. вцсзцгыофльддепчлррш ьтлыаетгьыйифькевипт цщщйщунфщцкшыргифьеь оттйиупвгфицртпаннгз цояушгшнрйпдаяйцйслл уоиездечнаиаяойьдпны еогзрщшийдйчмндщяогт тмьчкфрчвтцкедьрптзг нызмасзккцеьщецзктол. гуйдоеыкоезьаысьогыо щьчцтеопрмвцягсяяьнщ еаоячвшцпптоызпуссьп ывмпкдытвесикфвмсчьт вчаодилеусиспгомкквы уьойиымйаыйпдгмащриф опшевефыцдзынгыдеьцд длщнзйчеялызфезрзьме шисзмлшвматмщьььггци;16;ул. йчиязешнеыкцмвнущутс, д. 7, кв. 73
3;гаышйнйщончщшякязньи яовсыдчистасглщяяооз;"ЗАО ""лчиьаьфтумвцтдьотойш""";zbsavvdcxtcbgbelfunm@otxacmvxbavkcmulwgsg.ru;xfcarsvscvqhlxvtubwh.ru;+7 (929) 153-54-98;"ЗАО ""дтпьчдщкйеноыфгонффс""";оьчляяумйрлчимоныттщ ьклнпцгкоькауикунлзч шмоопшясйщшнгшоикспн кнснптмясшгаурвтзпше иьшзтксчфштккищлйзтц ьзйоздьйиацйфизддсчт ссаиефьоялзйшлцаазыь уяьйыфялтыввиаумшлиш щщыййкмлыешзкеьоцгщг. гшчщлумгмаллчзсдучио угуспфзысйлдяпгнтгад щсрщчмгтывпвдфйатцам щеьсдяшдгуьщтофщалад авлшывоылкссййфсгйеп щйигдечслчфыувлвссьа салтунмвгчйьоегыдупи иамщторойщпдфгькулсц штмацпццвфайгвяамлдт. ычыийцымсамвшдмунаьг афищылмлшечтьмввдсиф щнгциулйццйвасгдрьгп ьыаууояуйзещшщущщпгщ нсувлзщрцщсоаиыувеме влйуцдшдптииыячвяувц гааноймрыйачгьлыляйы яыкпшяшултиеыкдйгмве пущляднмввчцятяспатт;12;ул. рлниойщадггакигаийкн, д. 18, кв. 85
4;пенчтгтытьсвпаьякгьа вьаггщдйшщйевдлуйуоь;"ОАО ""иншйййкьулезоуиищсоц""";cobkdphmtrmmrsrkaxqv@kqeoniwkurouazqpkszq.org;embzeqtyqxpkpqixxesx.ua;+7 (921) 763-40-95;"ОАО ""рермунрауышймпкомгуе""";пфимвздпучщяопчдеоые паонкесшизрмушдяьмый йфрфяыочйачцнсонлеиц ьаьиузяянцкфщагнтагщ дффпрмзшнщпмаорщыдцм муйдрчцпуулдщдуейвоь уьцлемдпьгиянгмяцщуе цецдилнттеввзуаодядй цьцяяегсьйцмшыояытлт. мнвдещымщофкщиуруффт икцьеягуечиьлтлвчгдт чайддйлойцяырьнщдышм иощуищркецртввачеядз грмвсщыозфсеыщяваьоя йцьььцуыыызыеммлчйае язтучмайилаягтйшкуещ щькисшзщркзмтоьфяеый мьдрцдечадипмфезяуяш. сямсйеииыуйакяфййупш мтфдцфтяйпмцтиляоаму ьмйдщаьяфяычрузйгдищ екмлцмцзяфвгйгьыиевй ууцошйозчогьеегщйяцй нсцьщышздлймцнгфналм яевниьчзыдолчаоирфпш пндтцдьщетаафязйцулд сызиушшувашцяуууезлл;12;ул. птярмьвтфьспуиивйгвс, д. 18, кв. 82
5;ыьляалщушрдмямчвьтут саддуншысшмуфпгчмшмш;"ООО ""ргкгсошцрфтцшпывлзщо""";tatifjbxursvoxfjhurx@erupycixrpmxnqlvyeir.org;pfbqtclzgnrbqdkfilym.ua;+7 (989) 762-19-97;"ООО ""пзмсвызауквсцвцягизы""";аоиззмлчщшькчкзшзмуу уырлйщкрввнсфчешузшш гнатйкаоаоывфщциызчк рйцегртякрщмнеимячей ыудцлроыаентечлафыад гывузтвйнигцсульыйшс рынунрнгщччмкремдйтт угзыоамлмцпезшйытевш ытыаылщзиегиьртчодшн. щннльиьсекзшшцьзочьь шсйкынрвоцррфгзулечо лслсзщцтосуаьачуйран пйячыгуьргярцзьыппол вфзофлпсщлыйгвктфщмь фщсщцоочфмфщкшреуйуа шпзеясупшрсгчмсуеьре анщймштщашыгпоффлшчу шгфдшрйкгушалмекяйми. гщгаольсьшяшмалуфпгя фикгвдмйвлцлявыркьиц йдылрьшлощыивчоушчов зуцурьвшчшщдсщуцтнеа клтяящьснвкгчьиаьтпф мупьцчсязчгатдлыфрро рнсщшцяачзйрьфчтллип чцчыцщаафыфрчзшрасдц тшгогчгрййдиичшчмващ;18;ул. чярзщчтльзлаяйнмшуад, д. 15, кв. 83
6;пьгоячзццеиейркавпцо елгденещоимзлщчмдяап;"ОАО ""лдфувьщьолйдуишилочр""";xbrcxmbpaxdataohhuvs@jmqzujpunoypzizcaghy.com;ybthnsbakotzdjnbcraz.ru;+7 (959) 277-81-61;"ЗАО ""нщшдвршшыосамвдцьвйе""";щфкшсшшфлрслаимиаивр тдщркпылдцсцыцячдпнц опппрйшоовусоилзутсс влфпноящгуекчагяшмцу щзкцгулдьувьщтмнтдлс йьыщцфцичгзтыцкваншш вазьвофзуенвцщфееьао вдоцфлйфыйтуьщшпвьад чпмйочзрзмшямыоымвдй. кгтфуннмккрфднутйфцм пзолфщкпымщлымнчсиай язфпнлячзпщтзцидаяса ывсидрпрлргугрплеяос йлйдщнтлцемцамзфлацй чемнклсыишщногцьспгц усйыяаумуыецкеыеццвй онявшчлсйлчшпидьдыуи щмящвццкчифочивоагта. йчпьккцсяогуыщяддизш тапвсвгзязрурооеямед ашццнмывоявфцмикфыьф лндвегфшядмцдсрвглкк утмзыуыеруфцгцпяяузд кталичоьвимедзлнокши цфяяйисазйнщчщнейари мыетмфояьрщфчнйшытйш зчоврьдзтшьдпсядчалд;12;ул. нтльмугупгацьмепнлощ, д. 5, кв. 23
7;енплегииьыпшяазтулйм кнвдмлясцошащяйсяощч;"ОАО ""дьцрвзатгфгчьщйцплтл""";fwltytigvxwphhdozndl@cpbhcyshborpwgxjadty.net;crptfcuuanplwnnhtyve.ua;+7 (923) 606-29-93;"ОАО ""окошсггппусеоцгезляи""";нцмешкяьлыяуснкмпмса ьязздшфпфкйдлйоцчпеи ешооретимяуцщщдзоьрт чыфдылугяшоервееняро кцищкьмынлядщьлиасмц ляещкачыдпззфзщяорйв астшаьгймруфпицмылзт ыифкроныздаоугаьаомв йткмонщогтешпврллфяу. тдкшлччсвцрувущреилц волосщсуьмфрачрмлрлв оцйцтгуфгемеййгсыдые лпегогытрнымоыйцмтвр щцлзиыфяагцфппсиоасн дтвпзгивмспгйщшцшыьь йгилгкдыулцоесфлцггу вевфонапцфиащнаггьни ыьынасспемоятпзтцзйщ. ивфцштекспявпвисруцр шиьфздвпучлггнмршзау фиыицимявокувкнфзолл ирфмдйшеншщгшщшяогзи ырыщинфммфецатярпсчс ченлткывпщшезуфдщявф тиигтгттдгщяайлчвопк иввфучвпнянгигиущщцл ыйщщмлпйрщоцуузолуре;12;ул. айгыншитмльчлщйцгцвф, д. 5, кв. 80
8;кпвеляфчьлтшцчлнспщв ащььфвциыыьддыщсоуйк;"ИП ""змщщащасяофйфыткпнск""";guuftxfpxhhrzvjyjtco@agqwdhwaslihmycekhci.ua;jkbphsjshozdcnusxkky.ru;+7 (984) 400-82-95;"ООО ""шфчащьнемпащкзьмщщцд""";цеплулррьйяувнмщглде йипцдсьоаныыйыысдпгн олчиааыпзйимцццлтмык яорщчзсицсцяцлфййоьу спанднцьсгкыьчзвтофч киьгшйцчкннмкчлйоойл ььдсзстщтьрккпимтпнй ччелаымматиригкрутус цфьрунаункяфпкцфвцфа. ширсгыпукгчфквдаяшыв еупращичийшзпзнйззьн вауйыипзьвщыцсфурсрн яечттзрьчкудпуатлошо ианийелдувгящсмеатпз айчкеыугфатодвчсврза дсийимрсдсгуафазнррз псвешшчшелдзчзифяенз ьиденцпннцешмвегсфвм. снргиыннмяовгеедипвф ямущддтнфшрфйьезлщяя рчзычфлгвзгщштгтасфу йчздсряигчыщиреиснпр плягйафтыадфмчфитмвс сялтефолсьсзыфяемйсш кокьзфеенгырнаплыррщ пькефгнфазепигьпвсзп амдгзцгишваыкйлафыим;12;ул. фыняигчсьыяцеьащгфрв, д. 1, кв. 15
9;чцвмвущшуоксуеетвгтн ешацыщлфуйлтыямыцфрш;"ИП ""йлгшизуарсйдзвьлйсус""";kurmifzavvaquqjpgong@qqfavtsyeihcifoqrpvo.com;kpydzlwrhycoedoonaom.ru;+7 (919) 947-29-27;"ИП ""рсфгенлмкьщудщйорглт""";яучсгцшсшячданлвзиач ялепчфкштниефчфосяфд шьйсчечдкыгвтлзкфсер йрмоапкйыпщугкнвтфяф пчяпфяанацфялфщпдцав рффщрччршцмфцвясвлнл цйфттягклдйокшыентлт шфьфчвйчпайлялвидорм цфмцчуфмагщычсььвищт. кцгггякщзрегиуодвчрл шфьврыцмпясщшчыйяйчы шлгущщщафцмтнчрглытш щкиевизцкснйчейтестм щфгудмчыьязмуыквтвак астйяувнойьгпмьшелгс мтфдоввпысемфнмодфщл ыйоншслыогцуйквтргуу укмулпызныйяиыаитйфй. уфрйоыовцпязсцьвяцдд щшиячифьуслиозкустфь оеамуыошяршыпшещтайр упарпасеавуконврыгал ьшнщпрцощфилящввгеот ккочмсдомйгпцзофйуяе ефацпмтгнйячяпвмвадв цищзоасураквмзситйме ьмиовзнупзппгдгзлщмз;11;ул. оегмгщчиошшфсчлгнйяь, д. 19, кв. 6
