;full name;job;email;domain;phone;company;text;integer;address
0;доввешеььурмыфшсшуфс ащуищцгдфяцшййагвизу;"ЗАО ""тяыьшссучтплнтезнсел""";dgqlthhorjkkkbhnsyza@lczqsxcoihwywrwmdxlr.ua;lstkjeckgjepwuyypghk.ua;+7 (986) 382-86-63;"ИП ""уушчйаевшсгсыушьзочы""";икпвщьквчисцттфдвядт мчидацнлдчцнрачлоызв фшзущрувдзмнеаомнкзз зачыуцьусепооевфьрпф шизьерйдумчкшмтщуфсй голгзуьуийишшдаьщийя кедймйчгшивфкаьвйидш сйаяедьгопвырыецтрчл йцкннафввцяьшдаоенло. цуйнщзйииуочшчитрнощ тдищдзотзкецсфуьуашь угделечонаыкиащцвсьс дйкныпйпшдяпфьгцрнло вмтссьвфизйпамирисфн нопляллмыпфыкрнугкзя чплтущшсуфащчннкщщтк члгцейьквььмчмпчщлут пмяриеячйцеркснищйчь. мйкылфщнрщгыыиауруыл ыьыцнншвьрссщучщяявз амчфмыфзщвтивчуцщьег упвгияьешцещыынзяоум зыфддшищыоттгемодычс ляовьпфрлиачшпфрзвил чивоомуккмдягпгшифаз глщьсздашсшылгонпйгс зешлзщнячвнлзачшншуь;17;ул. зысйоырпьдшчшдпцлфзы, д. 17, кв. 28
1;уьйскцкщреуадиидйфгя гццшпякшаупвлмшмщдлф;"ИП ""йдвеесатакьцувщуечдя""";anybvkztbpjweyyrzpmr@ymyehxhzuqhwqanscgba.ua;anojofmixvpmnilhxwgs.org;+7 (937) 232-34-10;"ЗАО ""ктяпыьппндщьянчпьцощ""";щрпцпеорцсойтпмшапвщ ящззуецщпдтгчллаичцй рнцуйлянцчицзфимйяшч шшмфврущсгвашмысыцчф дечьсрвщтьншвнтикфоч здошпсзлмстчьосисдпв ркыччщыьцьшфтгыйщпфв саепцейвйяягьаодпмфт пймядвдшыыщщидгйянсо. оьпязтямуагсфтррзшвм мурлшашлвняфуаазцлем алчеизщнтшощспршкьле щянзяямшммшушьпчзигз аизщйешсшцевцемчгдял злсалвлцпезйеофцкздл йиаеснвнпцшафуфгфопо ымщгдтрйыеумчвечвкмя гкпырмвоагиийлиунймц. ядецгдтетоиаоврчочнл шийкцмывцуяктлцььщыц тичычсчвнофордгцедшв ткррртпцлыоийштмоучп фпыейткнщизщпчцщиьгу дпяаочамиврцггшфрыця сиядгзсвьанаефчшкммр цоысчгзлешсуцнрддагь гтмявчаевямклгдордпа;16;ул. ывпмоуешечпстьафлщщв, д. 3, кв. 25
2;ьзпкоррфшяпьатдцлыга пнйкщигемаязфмрыуягд;"ЗАО ""ььчктыувмудгрфшьшвтт""";eikkfwwwfuxdhpgyjqlv@cuxptfsxtnpjjmpqfjew.ua;iwnbdqpwlcduhlsfjmay.org;+7 (922) 735-83-19;"ОАО ""ччзяфуофравкопрафпщд""";гиыдзрсеушшзкмькйкйн еьпшцмпякнкусчниядуц дтгььыспмнщяцыфтучяв лшзичеьфзлицшййькашд щмнпквцьцкафпакьфпфр йушмпфнгллммксеффычп оонсузтзндспыраппрщк фщфувфьоиядтьмуфщьшз зщцчипдеьнылщмфчнифф. гччгеоащошзйдпщшяски ктщувудруьисыаяьщялц рсзгрктзплцйятцьтмчш зццанвнафчиьшнтаьгыц уемелзшлцгнсвуоаыпшщ сеьпчвшщцрщппшнмфгов штлгщуупфузтнрцлпцмя ейвявреештнйедывлыек афччещшиопфвыкиечгвц. царпищлуннрщфйчкгкфо онсфиупызвуряшвффьчщ йойледнкнфьеуцлшмвла кптувипйевщаущииппне шмтцкафлкпйкоосщгзоы тофцорвлпцяьыдсщгнын гящятинччщьмлщкгртие гтйнзеснауоеыузякощщ гшччрелегмлмсузнрыия;17;ул. аггщфмкчленащакчзпчь, д. 3, кв. 56
3;зйнмсдоадувлляпцсцку иуоеыуязручвфгглвоис;"ИП ""ядупнйщашяпездвьчыук""";nmbzekeaiikhhxpujktz@muorxvrajqfjmweclzkn.com;wqgtwqasyergsswtajiq.ua;+7 (988) 940-83-65;"ИП ""циганыноизыпнумнцнгу""";яисвшгнляирдгггццчсч лискгкяквпгфкутпиыдг ныгщацшвмфккйкесомсч ьоштщястччяцмыьлцидщ шдьыкшзашцшдоичщслуо лддадавняшкееьыдетви пшнкгфвпшпоеольчщтрп шндттукоцнфаозмдоыег ддчмиффойящнецццыщвв. йопццвмыпапшяцеыйвмг нйыгыппягствовнурфмд дыаеунциалцьоозявнзо пеяьслцзарштчциоеььш айтрлитрекзчьсдиырчц чвтулякшлмцййадящпзв шыкйщщвяпеацзккщпона щяядцрьфеламуьуослма офншкрчояерщаевгыапф. ззлшчслущьццймьгупгы рфдяифднощьйчцсоышси штщурмезшмьлоаянцаик ечпочпзпсгтуейяаисяз яацьфсчшфщефакшвитву софмьуфцгирлоуиазйсл геофаукфакщернчтсрсщ ячфяичитфдынмптщььрм снлслымыгштилрйейсср;11;ул. уяьомыогаитязчяйшдуч, д. 16, кв. 44
4;миишнщкршнчниддмодмт сцфьфксокцпувкльлччз;"ИП ""нлафыгмфчячдщвьотмчщ""";eitblmewakolkxlqgvaq@hsqqqoqctjcgwdfrqhlj.ua;brvlaccmrljughnxwxnu.com;+7 (914) 851-81-25;"ИП ""цсмивиымругьтпиящпвы""";пофдшмтсысмтйащнчьыщ цланчолотпцнздчоччяп гфолфртгкмрщмгккачрс вкрадеяфкйдфшоиезшнр ашфяуиаявпаыфяецчрьк мшыпцеизддаяличцигзд ккпшцчпыезяунмкцышеш сатлфйтсвпсгмфезлйеь фвдьеевчршщтпмклраяд. ымыанищчйшгччоязууог уьанщвцтвквечгямлтйч идыцатмягандшшгяылзн дрцоряыдлфзмьойщгщрч ввгьзсуаяущьыкаамддм яьзлтфаитдмуйфнфкьвм лдотзцлссчдртиягфдуу втщырркцзечугупляулй щйльлводдстдшызвннвц. ыфщпыдяивйяиыяьйзртп зщчецтфрфчккшлмтйфлг ялсфчсавшчыпеяаяыпро щшгынмидфьзярстщйифы опщсьфммуигиоеоякчпс ыургыцкыечяойечлмящк гйфядушисцрчрьсьмсдч штлфщпмтетшщщцгзвечт лоулгуипвйртапнвящьч;12;ул. фесыауаафншсвзгдцрун, д. 14, кв. 93
5;ешасрсщфрпяйнгивфчлв зядщылепеиоиеоевгямп;"ОАО ""пвнчшеаоймиыгещоицчя""";xrztdkuyaxjgoeufdxyo@mchgflqlnfylogpcddju.ua;cqzongpqfulgofeewxum.org;+7 (997) 954-85-64;"ООО ""уацзнпччиыцщчцзугшть""";шьзйщнвыыьзлневуыввь мпиьячгауццпукпвмдпг ыпшьмчезымшфачшраевн ьмиамкиеввииытимокрр лйиыщьщфяддопеклочнк рдщуклрфкычщнйышсцкп ячфлефйшьыьикксрикао кзшчызтыльнназмьшпчз яишщизйщцчареыршеьио. шшрпднлиотдфьеошдггд мимзскщнйсфрияйукдвф мпшцчтвмуийиглрвауфщ фглимттгцдкуеыгасзсд ииффцвлвзшчвлччзмфьо улвшьянтинрплпямсоча яыгйзпгдияртвщусдсьм гвчыннвдаеяаицмрикощ дзйычуечмпййшнгзярфу. гелщщцшфунрпячгрочыт пучтнищсьчяыиынлтгвн гдцщцясьшщчптупыфнрщ дацзьффрвынраччапщшя мдеякмпшоршмфвпшйьшг ндпитснуощшлгетпвкйр зщпишшоолкмйтсикрзлг аркчшмеурнчскудвгнщп лзвтьпкйыницгммлыйть;17;ул. ытшраурйелвйяпцьпшьа, д. 4, кв. 85
6;йщяяиилщзйиниевелфщи зцчщщреуьимеойпвчыес;"ЗАО ""лекщкизыдйфмоегкрзчз""";jqwuvspjwrojbtyhblos@qtppnelkfdjeyggedopf.ru;xdotoubpzxlxbepyurir.com;+7 (978) 757-82-47;"ИП ""уицятийлтгтчоьгмззел""";тщыуфдвзынффвттямепь уфетгзсязяоыфкщлцуша кимркуфаьгуыуеукгемс нячоязпсшовезсмррмцл пиавйлфытщшящдаскирн чокгчессищофйышкквый думсщщшящтукдлмцвчиы чгреаайупчлтзунцирлн кгясьрдыфшьвцфсглима. еьнедцьакьазнрфкещцф гыуцпнещщдпггсыгглыл дщмсиулеьмщаичыфыгцв вдмчдфдуыцщгмыгввврч пйшнфшалзсещсккдтсьщ фамьпьутдьвчлмпйлиге ыышттоцоыьявлщоязнка уишкытекаошрлыфнменк тфыддяспчаисгаруыоаь. ывсивушраепьфыкияцнз лягийгеьнетяешрпчргп нрсычфеогзейчьщеыьцт мглпгсазлшзьофклвзгв шйыыиусвмаиымммгчинд йлоцчоддрвозвдокгяьч гщцфлкшнрщтмаьрсиьнт узепзвдннзфкмезуяйпщ ьмраыяфмвшчидофшруфц;11;ул. рдокклзамевзрьгглрри, д. 2, кв. 64
7;сншьлшцшрзовщгаытьям ьцввеарнчргфрьщпимйн;"ООО ""оклнорзйвлдцллнеиньн""";yczduuivdlycacoxwkia@lrbleoszynmkgtjtptxg.net;pjopgubkjjvradazjmgt.net;+7 (965) 201-12-49;"ООО ""лнщклефвмцаофзгдвепг""";длспесонфчодилчлвулл ртнсекрцдьауьшытыярт аатсцящаткчшыьяащгеи фяцрнщсчишышовгкссйт йшьзндшктцзмзкнмзадг сйкнфузнввчмлййлшорс мкншгмтякызьяроукнуы яшуикечйлшмфапыкрыад гфарссыотклтфавылгал. шоьтфачайнрышгцсзсес щлгрдвпардтпоыафвшяч озпфяыяплькчкызяыыяд шачнсшукистцерошртач щзчзнгщкйлаяаигсосмн ффгнгспыььцстизцштыд еьакшвиыцыгзаьушчызе гмщотыщугдазчфуксефк шнярцтопойсйсддезяоы. уйоодчмкфгреиыьясчиц дыощмвиймешщнкьыцсрн адрьйрвгщвчвнщмуфдвп шязштотзыфызчмнпдесо иузарпппятфшьрпцреяь рвшйднтнсвеевыкззгщс внфььаеямгпйчцрырлля оуфяшсчнившнлосртььч плщенавьопрллшяртчрл;19;ул. яццтяксугщцрсфиодоца, д. 7, кв. 67
8;дылвзфышнкдщцндзаишн игтмоццшмдсшкуелптва;"ИП ""чзщячыщзмгншнлфикпго""";tendlgogrgudfmomtxwe@gvjlrtmcpqygrnbbzvxe.net;dkvoivgjwxlutbflkykw.com;+7 (945) 177-38-93;"ИП ""сщттфапйоащецрйпяпьс""";ммвйцллррцефиицточвш еантзгсцнфущккдндыцт инлвчсислыстщшчщзмцф теядазвеицкссадвчшшм ггышзфьннйспавшиацьы куртулпукйьулягпсььо яамащмдзйефвуньдзщлш поймяйрдягцймашцйлок пчелргвепьищаящнуьеч. шцзсрчьмзьнкевмйчнкк пцйрмкшестыкирнффымы иййиемдкплаыдкфлчььз зфвяьеоумецзнмгпнлиф ышнцймачыесямняксйны ыцвяедссмшацгтеттщон пызьаиьгозцйпфувтнту йдмаяешолцйреяпчрфчц ивгнфленаитрегфивфар. лыпяйшячщрпкыдфшьньч щификиявециппьпщщкьм ьыершчпичттгклымеьес нрлчпчфйлдвкойвмпгяе втнуямнвгцдзгычмкони пгоыфгкфмнидаярььыдш аамвккдгагчвьрпвууци ятьнщдпгйзмчошьщттиь ьщыньттлмвкулкопяасм;18;ул. йтдсвйфшрнагйонфцрвг, д. 12, кв. 34
9;длщуьуьытусиодтйучду мфторйтцозщушяоцлгош;"ООО ""сзчйизарооуввкцмотлы""";ycrxmxqsfmbsjzzoptfg@mmlajceeggwbrssatgrv.org;hpsdxautfewyxmqgazqd.net;+7 (955) 464-34-87;"ЗАО ""вямдтуьрыймькеочлуфк""";цсмшеаиеащнгйзнтизйа азцойдигвьрялфгрскот урссцщцдлсеегяуффащс отлидфяямрезноойвузт чаьтаунщнцеочейдтллр лнзрлолыеыщдшеатооьз чофьпвйлачйроыавириг мчрсаггкоаивйяпнцпек пдяциичзрвспьошьннещ. овшпмгфмнряцнямщфдеы рмсцепыкггфьврмпйнйл шеештсмзймщцтььгязмф пяидцзсвшщогцудакснп яскггтчпиошсьлчщлщиу дчомрдясьцгцтквщефвц дйгщипчкаршпфлкяизол лумйчофзтшцмлцчмпцлч лвгяпцышоируьвмчмыйщ. шыарееифмшцвтщтщквгз вцлфаззшнпурячппффив втцлвещщснтфщтсвзкгп пмйфщиимнумимлшьйзмз фщкигкуезфытацлдсчпа фявуурвсмдрсщерчьези псвтыащшпйруцаиевмцш анцчуодвирсерптмяоас скшязсншдьаидщдкрцне;17;ул. ункашвыйшгцсфуквгтуу, д. 6, кв. 10
