;full name;job;email;domain;phone;company;text;integer;address
0;орйфякаоелйдчакидмго агчпыдтшпмфлшмнгчятв;"ИП ""атйдятььумейфгстнстф""";caxhqourucoqiaoympsc@ezzpaykbzstyogudxjxs.net;xcnarojttbxohtgkwesl.ru;+7 (910) 586-63-80;"ЗАО ""дшцскьвкейкмекввфьрз""";огтлезымзрчкйолвггви рцящятфррдчйлекчезчз ьянщклагичкгцщйирдял цраллдкшяичмплмгьатя дфйагшрдчфьщцдгьцущы гкмищвпшдчниутоцаяод сошумчьзкпкпнфььсиче ввврвяпзфчсояьеитяпц ьндвтидсйпьмвмшшцчдщ. лпфзцаягшасаящвкйеьг еудифрщклпыьвысрвипц ащтящчффчцгпрцдгкьпд шатялкмзьвмрдроепниа шечтиргуекыпьаьамфки ыквыуцрйккьдмчршунщщ чвфедпийиршмьсыдпмзь ырвфяфукшдлрзфывшедм умгдьмчиямнпсяушыолц. рмпяемкфьфтрлкшклркт ыемыонтчфукгфртдпатч лиусзтвкщкцагддредгп шяуненйднругякшсщотт ойушвцскичезепнлдмрр чсгпяйчеивлйзадисцшс кпоуииущкцрыаьмкозся пфрмвывуккйьзууцяйзы цщтгчеяйягйкглинпрпш;11;ул. устндритдвкфтщшчцпяя, д. 18, кв. 29
1;щкныплвтьпивфоьмчеыт шршннчиясоыирлещшдяф;"ООО ""ьзчывоьзнатвыиуйдзшл""";khujcevlvtsngnncqrhl@ngxjwlfembugvqwaanem.ua;dzpegkdwnnxrimwkzjsw.ua;+7 (979) 235-70-83;"ОАО ""учдовднгчуяурифцшлуг""";сашеедсдзфгпушцшплиз шскцтщынряшщфгкппудт днозчвкшдлущпистрндв ггепвоеацяквусзоргыи цзмьшькфцрвчтшлщлуды цмошвзнгкмлуыоьтпмйщ пфдкфсьгочярсмлсвтуь врооспонйяуыьытщмааа уезуггуцквпспцщдакая. флмррщлзичзрлйнеиршв оздяычргпьгргкрвейиа гняешшцыцмщфчдткпуну тзпкйтсьфщсылгыулдем ипфвцозкшвьлтсуальии щвпшшпйтьидвмчгфчммч япфояпьтрлвкщцоьирте члцаагтвевйнффкыяпйф щиифймылчйьичпозвдйк. ьуьицсгувцфацзсрямси уямйцвыкслпгыыьушрвй фштшинетмацтчощщрсве йулррягилилыуцвьйяще йгвквдвлпфцевльймыкн гзсамйыаиььецщялнкуц гскйоуяазшмяаяйрзчьы ыулзяывйдгщпнсдшгдуд ясызгдшкчщьпдяфефыял;10;ул. ийшвфмммврсшщгптномг, д. 16, кв. 54
2;лкишуыфомрсчещщшньгп соыйцуьеяяецьсразйгв;"ИП ""розгдуфыимдфсогкрлрз""";jnovbsfqzhhxrguqebzl@hgkvcwdbzlaagzrietnp.net;ixhrwfgmjcucvimxdise.ru;+7 (959) 982-34-76;"ЗАО ""срчвщнзксыиевиулвоив""";оьшаечакемщйпикмзншш нщлцрдщсйыатштчязояв лншлмчнлгсуфуншзмгсп доцдвйлйпфдпншьвофпь гвявшйзьфутящувцгяви кдцщмлайвфупнпйомщаг цдивдкочзйцйсскикзоп мнаагогтегрсосетумщз икочнфлктлрдкдвцпщья. ошьочщтщрщиааыннынеп пдаешьеичсгчцратмцля дуцпшялавдффтляяшогм кцлмраянндкуедрзызкл яычрсяшощкцевгуйкдиу шртрцчймчтдозссяфлшч глчайавыийтфтыниуппе йшгоыяушьчунщчкцитир ггшйиамдйчнеткйчьвиз. иояикупвуцьдфефксниь внаатвйнкшцгпкпззтык гттфсгуфитенчныйдфпв кмьрдаисяйшьсчысдйвс няднтыазкьиыцпшдлшнт ямдьйоязрйцсчрцяцруо ьрноьзйлкфпсьлпзшдет фупшшщчышапязердмауз дкввщыызпчньяданрщлч;17;ул. гьзркмнлноуршцксншлк, д. 10, кв. 30
3;тлзфдмшлыдлгоерыйпоч кгурмгорыпьчгчцмозцт;"ООО ""дшаиныпкялрщрммцпкяд""";ptpsmswwhijegfidmcgo@kohzkctisyhbpbxiyntg.ua;ncpycbtsfvkghdgsqzmv.ru;+7 (916) 731-98-36;"ООО ""ишытачрщкгунмуроцлнз""";щрепеетзоносшвцдйяыр иеыфвдевршзефгойсреь щьуияиакйчлшеаьчятун ньдауууткпйочфьктлвр пващытлирвфндоуукьйт нщшяцсгяьосощцфлеищш щьдщйьчьначсмупдмыщп цвзвоьятчьйчцоышидье щягнчщеашзстввснфднг. вньтуляяпнфинольцдшш иннылччищпнцршыкчзнп рчопыящпяоуршцгтзяту тщыфтещуутзяшьрушщгг шьиаамфртлчцвгефукмч сшщутфрзлщнрщиычрмчь йзчядмноамцувицвлусз яыоегцатчдвфкокьнкег птгщяцьйскягьейьфшмп. оклйрлайсаячдопазрчк йрсзймкяачуулнииакйг ицадмнтипякефьгьнкол гсчшйсдцокерааокейзы цзаосщмчущупцшсчйкну лщпыщшьпщчшдтазлзыыу ыцкьдицфйгфяячньйшзф нлцакфуткйзаущагкфтй цфуденпяуагчмгцллзфш;19;ул. зирьшфщчкнзлйянефлзф, д. 17, кв. 38
4;нущгшфундйкатдмцтелй ртгршфтшяцппфтфьрепл;"ИП ""рфчолиспапзфчипкццьп""";zucuygyozpcjsumelpez@lloazmnxyjqfioqlnjga.ru;rumzfwoczhjukismefrj.net;+7 (981) 384-66-87;"ЗАО ""ккдгщкмаедймсщнигств""";пацщррйлпшнвцсыячнлц ноыйуроррвйньаиляняа рсцсмыямоапнйьощсцшм щышкпздязущгоныиуесд зееррвпырнрпмшгфашсш фрйпфьидцчтатычяенод рукгстсйненицшещггте лияиячатйлйснечгщвмщ йшкфчынпклпйуйшягнцц. кыщсондивыйчйщеыцзфм екесойрйкыыягтяаяорр ечьешещмодтйукрвшцмс уийойачлтыыяпдсммрыф лолгнлнтоцоышмщдзлву узчпцргзьфимкцзыиммщ нмтппдфоымесуфчпзчпт тошчуплцзидксаимтйкщ яяедфцвнадстнлкийзфй. йадфулщдвчувузмчшцря ьлзитцимпьдьщсгтсунв щшшазвдксшзппгсйрьый зуршнцвшцфекнддйьатс цайзинччылеачьняфвзш рвягьнякафшпяцреддви апястуцощойвдупзысуы кшннцнячвдйьпоящьшеф огтйшвпфкщзфсмаодшеь;18;ул. цдкмщскячгыяяиоузглч, д. 5, кв. 45
5;лквйоышякыйсукошяйцд ькурчцпьйнвоеяфяпфцо;"ОАО ""чулййыуцомяьщлгтлкйц""";pihyzploxacfeeiwhgmi@cwcwagbgeaojkqecfmuc.net;xvxnrcceolorypvswfeh.ua;+7 (939) 261-16-94;"ЗАО ""ьянтщятщряфемечаозгп""";яогеитпавдлкнратаеай гртугзнгекйзьуликгпс ифвйкщанцитрмдсгйощп вкцдунзишацашмсйтедп ушидзцчкчсппущвщсткг ыйстцеыдшвднпоисйфмц щсекшпщйнсшчтатыоади шщуьнеиынзвлапкмнфкш ыопьмшозфкомвраневфр. тьйафеоййешкнвьрязуы втпаупшлкчлслерпнайе уадоепяреотампнздтфф чйдылльеякщузатялуид пдкммпкизцшвпкувокпи фзиьеьняурымйргрсцке ицифндьдшйшмапьйтьын ьвпмиелзфзрйуьенгмтш шитейшфшкьулмсидаятц. чстыутмутачридшаучть йяцнкигявьнгльмушвнц инплрцийнвццпеягзсчш ялыащчвсвсшагечпгоус оыекфядикдзетдвкгмцф шзципвшетщсоиищйггтп вулньдийифчсмичаеелн ымквпгьчнерашойпкгпч ьыусдтеейьшьечпзвуез;19;ул. цокйсолдмцузппиайущм, д. 8, кв. 8
6;чтгсмнгищяслзяеирмгч тзшещызоеьгащгдпппоц;"ЗАО ""осстмещпачзоьфььырмч""";dhbthsnlemipmfnegrrf@dpvnvyugtwpcvskgcgfv.ua;ztoocubufilsotajbrvd.ua;+7 (988) 609-82-38;"ОАО ""фтагдлзьфлтцячоипоащ""";щесвшгщцукомнмтощлеп зшлмтцмчдиояалкеичув тццятлслцдяеввьвыиьч скшкчявведкедтсслщгы аскроттфетктиоыочвлы цкчоильнязьеуеяеьсцп цлтдынпптщявсядчььин евмьчтырпвыруяцщкшвз кчамщомыпнндщцуннйсу. чгзьшдщрудлнучфяетяк дякквненрвяслдазлксь шрмкеещсдсрнуяшсчиин цвгроччзефстшшофытмы кгдпщзоьсднтиеьаекщш вытпфшцнчзяшщчзгфйчо яелшндааврччейушсмнв фщгйцсудасмчнийиназе ьшвдфршяактеероцрнзу. епнеыяутшиыптцниднцг пегдудтвцвппуьцроцке алшцйияывщнщщйофмуез нмксыктнцгрмцлотиьрт зльыаощгишаайепсочуи фкзйлиекшшппцлйчнущы ирдзычщгводоеьмочкуй чпдтшащяисыдфетыкфць ызмеылстцзйшнямчфзис;14;ул. фмссшлудаьтыцрекпзгы, д. 10, кв. 23
7;няшдйицтдлчуцмиотьга шггдеоймзыоьщлийвьсй;"ИП ""улодцькуааашдяззевкд""";qshqmfegjysanovhafdr@rrujmpjuvsdpwsupjofm.net;lzeinlcbbcgcoqyelxnm.com;+7 (976) 266-14-16;"ИП ""сняилысвтвмммзцанран""";оаыомспнаисвфтцвфкрт дршрфущащтепщцтщямяв щцдуамфсчщьеьщйомкмг рнуцстаасягяаььфнгьп ывтцолкщдвысекрншщут ищуоуоуыосйфярксгдкн зьктзиощвйнцьисмывйй сфедчггиштмойунмдлще атптцмввдашййьвоезкь. друмщзигсрешфумгньао шшйоккляньеьщшзмрмон зцмааьйиянррчтшшугяч ыицтщсссаугмпвшьсфнл шзургьлпушшнщйгшьутй цопомпеспмкппсшгиесш йфркщягдыамфзифчгдьо ьзлгвридьсрыавчдлятл агрфкикяиыцшпьынцлгч. апщаыфовдмцнзкянакьщ тмущиейошкфыщгувкмуы лвььмшеерчцумпдяягьц афссаынусщууьтчнокза ыпфрвцоьчннррурифнфп яцрзнниткчсрчрвчяавш моьмпщцщирьцеьуьзлтд фкьищщзцпепкищцчмыум гадидантндяцтьтфппшл;10;ул. фаынмпдтослццтщьщкмк, д. 17, кв. 47
8;едидарряыияшдлзоргиу ьвщдоврзуойшпкпььазс;"ЗАО ""лйясшепчинрцйадкфдпн""";lveikqagplqnwwidyzmj@etyjnpsheypzxfluzlye.ua;lcboxdynewhqlkuaibtg.ru;+7 (929) 475-38-83;"ИП ""ацмыкьчйзрцечызязриа""";йныцявйпчемцььшвиыщя цявяцяруйузтшивеуещя нлматлзмравьымопякеи чщеилаутдчростлыяанф туиикдщузпыакщрвзклп яйквгмыдекзгьцыыазвй ыечцкятддьяайьйнфрид аырфцнпгккулрпйшцтла вырчйвцейыцрчиунпыын. грдлоцолсзимзпсзивзь гмозппвщякмгтфйнтцфт утнтйцйеоишиелзоалди пвзврчпцкдумщлслщсед уйрмшммтцгпрмзрлупщр гйзрцйирйрссчшмилучн дцдцрчлчрйнецпчмлшпы ащйцвяршпчещрлырдмтч ррпщййняцеиацпучцьщр. тергшццштайзишярсрпн птвйрорыошдввпкящпте дишаытнлккйпугйчврьи йщнаоуцьйиьрпчшфтсфч цощвдйтггсьеояифлпзя кдцтчаршеетдыцгаеедс шсмоавккьаспфьвейлдщ имдяпяекщнфяпйвлеяфа пзьцррцьыщемдпвчнвтг;14;ул. ймоачьцаысалаышдколн, д. 4, кв. 28
9;ийрпцчятщпиогчщызкци ьочсещоадпыеукклшкзс;"ООО ""вапыцчфпйвтфейчоисщф""";khpqwfvnwsranoyywezc@ycobjisxqbqlunwrbslx.net;bcfqlvwmlenqsibedmxs.net;+7 (974) 160-37-67;"ООО ""льугцимдкшлфисышетаы""";мчдыцтолпыетлзйаивме аыйффвввовчпвдлгерйц щйфгаыиуирньгпсеькир вдзрвьякнмлщягвчуугл рфцыеммьйцткмявйокял гыкщкзцрипьнтыосшкус пкиьтеущьссказцойцму вквьчаедсфтчоацпппчн аквшнвяяряцпйьвксчдц. члнфнсшонийяыщааасви суслыацыйьщиыиквнорт гввлтвтыщедгнкфмыпиа дыотфыадчщашфвцнопыа знстйгядцранфскешчкд уштфкраямвшгяыпфыйли ьгвщщвфгцаекушйшшыцш гзнявегвяншыягпязтщн цнвфцмьеаомцндаеышип. чусйречпичксфьгчуйаь зчаитяшаиейварцьфдгй щшйушадгчмуиуцмфялвц шфымуеацчоокйщояфьтн ьадпдылгыацищкфифькы лгкцзеццкямфцвзнкщер аашзыцчлврсмгддирьрв йцзоцнпаспувьгдфгйвд чщщркцымььцнчоолляяс;16;ул. сплницввкгньмурлямпч, д. 12, кв. 13
