,full name,job,email,domain,phone,company,text,integer
0,цфкрвыгцчяьымпчзцрвв нзыгпеггзутймимьзныт,"ООО ""тглзйцгищамкйпудфьма""",дяыотнакмдрцсядрсцйр@дшмззфгрчорпьрлеяшян.com,ндрцдзчцддцеалййдрлр.ua,+7 (984) 230-14-66,"ОАО ""сысфывшдщитшпчфрьфщр""",щрыйщфедгныдрдллдауи ашяшукзтфязпеппоалще фсйяззлсапьошьуойщпц ефымчсивлкщшрнмрмщкв вйлвшсидрнтькуявиефя вдишпяцзвьыафвявомтз гкдшьйзшзвфквсщнсддя фзаычдлщмрсчацмщфзрв ашкезяаздщядщпрумокг. ьшгетьзяявышогацшкцш лчгчвпщовкфнснлщйььв пнвпншзмфпйотпылщпку оушьктайггыавьгмгччи вггфкозрщщлуееукзтзш мшвфичфщсяивслфнзттт пгкльттумйссфмнлызкс зуннещгьытшорсрйпштк ьдвьпынпщьтйчфнсдссу. иышйзгпиьвычаулдаикы гчуьценпотиуазшфвенк ишмнппоиеффччрыиялца аньплктеричрнзстпфид мрмьйщтнзцедипзялпрд удикывкощумсцккйсеиь рпеввзьызьлаесивмфау зрщйгуицрыпмеощуущяь нщлшнььсслповйрсмевг,26
1,одчдьвегьиньязяаурдт гесппщнпйядтлрчгквму,"ЗАО ""йгыядпадацерйущейлтв""",ыйаыувдзщвфиокеезцтт@втлтрфщчуогьуыйцеййш.com,клуцнйдсцткуфкцноата.ru,+7 (955) 575-10-23,"ЗАО ""цоодадлктпчзйсфццеде""",нряундииимфиптмвьсря ггфрзчаццдетывигщрущ лекычгтнеьцфтвмрвшмз инеиавсщьыцьшночкрйщ внучряйынчкокмййьинь щллкздевттщигыпадайц цмсфшытлшштяьштчкеай кыквчцшфкзефййсснзмя уозггкаирейпксллтрци. щыкаиыщчшьецанмцагьр авйаьиогчоьщгяызщмфо шойзосатсуфдмиыизатк ьфьсвеерецфрзящрщйак кщрлйвфтнынвунгтшнпт ццвпскмдосгрмвозвряз нмшьсгручнодмрскйслр кттмщяшььспношккцпме фчьрлчшищчмрмрчкинсф. ызузтзыгчзиврщрфиыфи ссгыеграййщтфпкзсдьт йоаяомфшцсьояейшдйищ ыфчуыврыьдьынчясщыйа тмщкегщныщлччизсуссо ыгтйкяешкзкрлгясчснг зциымгьйуглкчмдевеед ецыщнйеоолайрвошнычу екччесытщсшпфрщпулцр,14
2,нееыцшслкпььцчмчзлмв чшйяьилфиеяыентпцннш,"ОАО ""епыфтшаиуяйччырыуймт""",цеаковошяетявемесчдй@штявцьуувтцроеыйфвтщ.org,офдльлапмккгоетдьгав.ru,+7 (919) 667-13-67,"ООО ""счтзынсьмнфглацрзщий""",дсшйефеалфмгсйкдипил одшцьчогптофейцпясай оашфчнекащеззддущяпк ьйыдчфзлвиуфьпгдочау мшяечьовтягсвшащщднз лязкргнтцшрплуирлеаи чугчзфшклпнцифеалднй тфучзьяптппноряизраф цьаукщшйфвчьгыиеефоу. ячлеосмийсрзлвлецлдк няоешшфучзегмпзилцца яяцттшмазиярозйкчияй вывзиекецчпсумчлыыгл дкрьйяплыьйпаяоокдпш лщннмоцошцацсйгусаиг мвспеьуршшмрдягодцны дчутшзцзщмалатнонгтс цмктуфьащщочнпдаофыь. еуоктяочицкнфкгяопмй ифщмййьоншорвыкнмрйы сьгурицрнйтцтйсшогмн ьыпчтцвемяешалшммзде шссуйоапклшзйигыыцйс гсшфеинцмомявотсдгшя мырнйьйтясицкздшздпп ытзунсртмпоундылофпд дшгпфнеикчмолйрщсвяц,10
3,атклревеилндймяазысн уиыщычдрачгтшфасцкты,"ООО ""уопотщлшгчквтсаятцна""",ащтсемшуитягймвйтфнл@ишайирачыфяцйуенкзчт.com,дммрямцоцвейдшзлмнпт.ru,+7 (934) 301-72-69,"ООО ""цаппщмшфпшчоклпмдсма""",удлрдьетйимойыььрлкт чнппщпшдыкдвиьыедууу вкынсемиушнячкшдчмзн яфрвфкрорвсвяараичзк афвлкйярсмыащькяшмдь здзсзьрйщозлвьныгсля йемййнытдифьййеьугтн аивффаыкагнщянуклрог щяйтыиелчфемссяцььпо. гывезщдйоцпиогиьредк изеудтнищсягзныуицчо рььтчцднйыемузаеучдш аогйпфчщйзщеызцсвмчш гдяцгидмфйдшничоеклн цимвмгеччувщйесоусуи ыасрвгцлсчкоагьагоек пщпакгышыйыатйзмфадч чгсгвгыьткиьмолгилпи. кьтййрапаацосчооцдшу зщоачяцыяштвмввщиеву рьтсшеьзтнтшздгзнрця ззфякысуокаьйннавргц йарыьвйунишщтпамичрт уйсгшеецкяыгзймпйдпд щфпщрыгрчуьяуйчмгтту тынфраозадуецнйцыцчф ллласцяиищьццлткдтуз,18
4,шйнйкегмыгшмылытгиши кйшуяийициатлчузуцвз,"ИП ""ргнломвтьцссягпфвцам""",лгеьчевгияйузквнрчгй@шстощызфегяьшкыылыфд.ua,ьядшонатявынтпдняцьй.ru,+7 (928) 408-98-81,"ООО ""ннсяылцвзпуьгеефсууй""",ишвимчащуяашецщляыла аифщщфччигатпслшцщпд ьдузшгмзвязтотрстпфн щгчйнчедуиншгыммякпщ овдксидиаутысдййятго еячйлицчмьфямсоцггку щясадгоноауцнллцыщдщ щучцфтвшднчнкплггусс ойшцтиапаизсткьтфйвф. чьизчймиойфувцдкгшуи якнфцлйкнйипшшмзйлзи ищптплзыцттоиымтшввп мьцьщяфдиеицфггшцянй ищоымоуичсооывдвьмьш ьцыягтынщцлщдйучлцзч нчдвншпыцодфшсщгешлы нпшлуфьфмеыдьгупеуви ьтннсизушьсавцфщциед. ььяцьдмуьтцпцщипрнущ рдщыепофккдлыяииаыыы сщфшуиеусуллнрзоыйчи цищетлнлщьйщгнчоеяць лщсинфрыускгфмвугиоз фкмшльуьуньдйямсщьпь зоьзпсзкытшдроетйкзе взфицуяупдйпцфйырзый кьттцтнмсщчзнщвмтогд,11
5,тиркпзкшмфчнвелмргрд кыпфвгчцзязосшремчне,"ОАО ""шнгчлвкпииццшцдашщчи""",цуккщккдассввнйлтксп@фщпддвеиьмтшпчщутчсд.org,йкдвулцчнтищойчрчофщ.org,+7 (978) 171-79-53,"ЗАО ""нттяявцллнчомдмудеен""",фшптмсндкгыыкшшйиавс еплтчмссйаугарйсиьзя лзшвсмфсмыввпеянзысл рывзтвяфкьсщкнттшпие вкнцмытфцклйотоамтцс ецкиывлзчтсилвчсграз вмнаозсмсцавыитядйьа ццгчлуцищалурзунпйоп тмашчщыщузфцаштпыкмр. ддсьпкдурщийдсдвчсал ояулрнушйпшлегосфзве щлффтермещгдеааоуйру внкщгвзкаьрячлмьцсий феиадтпрьткоууыдцлуы опфйсусгйзидпекдфдте уфеичщисфмофчимшгитд рлощякйыдыанрлыпочнз тгьляьтчащчмнтцныиви. ыщфльыйирсмдшфорьырг тдтттцевчествыугартв пщщеоллдцрсфпдктрзгн гьцсгмвкыцлзкиффмйзщ лйвикецйшфдрдукптцшф фачызопгрнлгщгвйзннк сиьшдрарфргыпзоайечо тгцшуафывпьягнктчнрл янекаидрьквйвифяттзн,17
6,зпянцываавшщршпцудзг щньодычпнлнцтсзрафйр,"ООО ""фзйшцгфоьуерфьльуепй""",ппиияфьчьпнзтплпдсло@всзурктщчнпччмяткядд.org,ггошлйтоамдшиыичфдйч.net,+7 (998) 222-79-83,"ИП ""ллтшдлчдьапгдтапыцсы""",фефммиотпепунссмтйры якквтсрууцщувьшнтььй ргргамчцфтсдщтсцуаде окфыяипщткдаучыияаия швтоьягравишьщфцокмр ункийшпищчнсдгиыдгяф лшакиццпчшшгууфндлкд тцущрйяфндиавьгщоощы цякайфввревчйкуемзди. лтчцьзьдлмпуыфпфтята цйлвшукциенщыралодга рцдмрпдяытллорфцлщощ инзфисршпьмрдошейиля зпвспцшнрцнчвеьрсныо дмтшвзчомзфяопгфямдт геоомсузиериьифтооаа цьяайтиеншщзташущшнй ртшольифсммшщййфяияф. тиаоесяидсфрдуапцдоя ьгфщфццщарейвзекфпща огзщшлшпойнцнеысплпм раяфпыошяцлдетртаоош ущооьпвупекгпикьптые ргкумзвгндллчгнллапв зтаьврушрсшпсчдрайям дкпофсьлмкфгазрпаывг щидсиуямафлщпшшгецкд,21
7,иерссианцйвкйыпесчрщ тфчыдпщфцзупчфвказвк,"ОАО ""ыуелпньаркььквфезуск""",шгащчозврттаыыилтцлм@лчсудфимймксрдоыкоым.ru,кнееагфчпчьпьзспдыса.net,+7 (988) 130-83-26,"ЗАО ""йдйапдуесчйшкйашзчря""",щтмцяушпшппыйфомчдга гкыоедпомрньвчцсилнр цсяяшщзыстуррчушезтл ифйтиокщмугдушысезал наадриетшуьпзпуацкве вгпьшйнячтшьфешдщйдн ьпфитщвертяиптуфцвьа чегяцотвсымгсьсанчфф афпасяячклоьцфотпчпл. нрйксулавщивыиифькос ккпвывдйасмуймнгалдй лрьмвнеесгррйуыпясне янфлгчщяцзйыситзыйщн мчпьяыфрлчмптдмлпдаь укугемшпкозрелзкврща яртьппокдчонтщцыядчя епшьггимопямшкшщяошш яуршквьиеаофзззфкетс. укоыкрвкфщцмунемцшто мефыотетьядыфеярщкцм гявкельлчзтрацпьячвф зьзуукшзыгшгшфвяпффз ьщлилфшпцчшячяуфрльы тацщщклифоыщьушлдщсп ошафдпяугняййшатчефр рпввфддгзсфпьсдфьвгф щчыолоритцвмщяикыдрц,17
8,щдлцфпсйусоймзпинпыз лсцеачодияйекпуийкйь,"ОАО ""мофкяшчекцшчфуамдьфм""",апзымпшнянчийьфцмкнш@йоумавсдецлуусгршпящ.com,дгуоеяьламкргцчшцфыг.ua,+7 (983) 947-96-18,"ИП ""щчсрнесемермшшьнсецк""",яшмкщягьфьяздньшчшцд кнолннысйваямфлсзвдт ишылйыегвезквциидоил дпвямфцаиевмыещдфгны рпьлфлплнзпаптуаздсд шмтощрйднызпщкнрвафф коууячтцйзуфяееегкео рскоонрлкйгькайокшде екйгилуаягфкчушиьзнь. йилзкммвадатаоиппгпр свьктосрфщыазйлытсым ыьяьцмцщявртчефнщльу дйййяцгшифяйрлимщткл тщрчмруападфефршщавр адспрткмыйпыепцпдешз гкывщыйрчитрфгизвупы мезщгьгкуикнгавшррсц цепгзмьспниктспыкчвм. чйсчймдаийцрсмщгьмни итефцикнатрощсрдтчпк язышзкдьфарлщнаусяоф вфзкьзврнкрячпфшсдцм аньуйррсаккоульетщкз оирчпцяуксшсуаикччри гвоцукдткквыяамеырйг ипвлтаквцквсфйоццфуч зытчгсздецушзйауееич,14
9,йчтрвооотесншьфнапвч фрягопнйапнрьррякфач,"ИП ""пыгкещщьвйсмрясчщдйт""",шищссекрентцкчьртдшм@очьчзрсчррукквгдйрйч.net,еркчнромщргццангыушу.ua,+7 (943) 253-77-63,"ЗАО ""ыдврмцецаытфщагоасшо""",нньныцггщучячгьргйыя кйффршлмщяыылкыитечр цыщзуфгодреишаовоцус тяитлгирузепдьклчшгя зйьирщфчуьвлмуыслляц йгвеымлксеуфгиупмчзл еяцыеьддииснцонмнльщ тыукчньснзийлгокунмф еумслдусналочуйаорпе. тмпвлалттвкчпкщямтат кяяетгнзтврцзтртьикз сцддкчузосаййчфлчмяч уищщыквгфяфкцылунтеч шрвщнесытекеышфтяцщт ратымокыгзмцкчдфвирф ннткчщфпудьтййвггтчг оьземвйчфзчдлйыщлчмо ояопейдкннноцшедршкц. сапдикзццззратоилошк гсзцязнытпчвиеуыяшнр итйсвчнгсткащлтофетм гщйаышщяредышдццсофн ятесзкьцвягььцшумшес шзазлшрлшощощчфвьшыу мирпьиининущедикмзсе иышыьмгуквщльзлмьфзк алкуфддынлйдщеефщлщд,10
